port_type,port_name,count,suggested_match,match_score,action,map_to,notes
destination,HARTLEPOOL (WEST),6107,Hartlepool (West),1.0,,,
destination,BORROWSTOUNNESS,2228,Borrowstounness,1.0,,,
destination,GRANTON,1615,,0.714,,,
destination,BO,1578,,0.8,,,
destination,LYNN,960,Lynn,1.0,,,
destination,SHIELDS,926,,0.625,,,
destination,BARROW,601,,0.727,,,
destination,SHOREHAM,426,,0.706,,,
destination,NEWPORT (MON,326,,0.75,,,
destination,FRASERBURGH,210,,0.7,,,
destination,METHIL,191,,0.727,,,
destination,BANFF,184,,0.667,,,
destination,CARNARVON,162,Carnavon,0.941,,,
origin,Dordt,151,,0.714,,,
destination,NEWPORT (MON),138,,0.72,,,
origin,Swartvik,134,svartvik,0.875,,,
destination,ALBANY,127,,0.667,,,
destination,MIDDLESBOROUGH,122,Middlesbrough,0.963,,,
origin,Finklippan,120,Finnklippan,0.952,,,
destination,MILFORD,119,,0.7,,,
destination,KING,114,,0.667,,,
destination,BORROWSTOUNESS,113,Borrowstounness,0.966,,,
destination,RPOOL,110,,0.8,,,
destination,HARTLEPOOL WEST,107,Hartlepool (West),0.938,,,
origin,Cronstadt-lathwood,105,,0.667,,,
destination,ABERYSTWITH,104,ABERYSTWYTH,0.909,,,
origin,"Quebec-deals, &c.",101,,0.571,,,
origin,Riga-sleepers,95,,0.526,,,
destination,KIRKWALL,91,,0.706,,,
origin,Sapelo,87,,0.6,,,
origin,"Gefle-deals, &c.",86,,0.476,,,
origin,Pierreville and Quebec,86,,0.667,,,
origin,Domsjo and Nordmaling,85,,0.645,,,
origin,Stocka,72,Stocka,1.0,,,
origin,Mediterranean,68,,0.571,,,
origin,Mem,68,,0.75,,,
origin,W. C. Africa,67,W. C. Africa,1.0,,,
origin,Wanevik,67,,0.667,,,
origin,Laguna,66,,0.714,,,
origin,"Archangel-deals, &c.",66,,0.621,,,
origin,Jacobstad,65,JAKOBSTAD,0.889,,,
origin,Langror,61,,0.667,,,
destination,DON,56,,0.75,,,
origin,Archangel-deals,55,,0.75,,,
origin,"St. John-deals, &c.",54,,0.593,,,
destination,BONESS,54,,0.667,,,
destination,MIDDLESBRO,53,Middlesbrough,0.87,,,
origin,Christiana,51,CHRISTIANIA,0.952,,,
origin,Sandvik,49,,0.714,,,
origin,"Bathurst, N.B.",49,,0.727,,,
origin,Nyland,48,,0.667,,,
origin,Quebec and Montreal,48,,0.593,,,
origin,Puebla,48,,0.6,,,
destination,RAMSEY,48,,0.833,,,
destination,EDINBURGH,48,,0.706,,,
destination,LIVERPOOL (WEST),47,,0.788,,,
destination,COLERAINE,46,,0.625,,,
origin,"Portland, Me.",45,,0.762,,,
origin,Cronstadt-deals,45,,0.75,,,
origin,New Richmond,44,,0.522,,,
origin,Riga-deals,44,,0.588,,,
origin,Kingston,44,,0.778,,,
origin,Torefors,43,torefos,0.933,,,
origin,Riga-lathwood,43,,0.545,,,
origin,Sannesund,42,Sannesund,1.0,,,
destination,ST,42,,0.571,,,
destination,NSEA,42,,0.727,,,
origin,"Cronstadt-deals, &c.",41,,0.621,,,
origin,Marseille,40,marseilles,0.947,,,
origin,St. Estephe,40,,0.64,,,
origin,Konigsberg-sleepers,40,,0.69,,,
destination,DALTON,40,,0.667,,,
destination,ORANGEMOUTH,40,GRANGEMOUTH,0.909,,,
origin,Soderhamn-deals,39,,0.75,,,
origin,Gefle-deals,38,,0.625,,,
destination,GRAYS,38,,0.6,,,
origin,Fremantle,37,,0.588,,,
origin,Donelan,36,,0.667,,,
origin,Fredriksvoern,36,,0.8,,,
origin,"Newcastle, N.B.",36,,0.75,,,
destination,HARTLEPOOL (WEST,36,Hartlepool (West),0.97,,,
origin,Quebec-deals,35,,0.667,,,
origin,Frano,34,,0.667,,,
origin,Rouen,34,,0.615,,,
origin,"Soderhamn-deals, &c.",34,,0.621,,,
destination,WEST HARTLEPOOL (WEST),34,Hartlepool (West),0.872,,,
origin,"Dalhousie, N.B.",33,,0.75,,,
origin,Carlsvik,33,,0.714,,,
origin,"Miramichi-deals, &c.",33,,0.621,,,
destination,BORROWSTONESS,33,Borrowstounness,0.929,,,
