port_type,port_name,count
origin,Soderhamn-deals,39
origin,Gefle-deals,38
origin,"West Bay, N.S.",37
origin,Fremantle,37
origin,Donelan,36
origin,Constantinople,36
origin,Fredriksvoern,36
origin,"St. John's, N.B.",36
origin,Colombo,36
origin,Buctouche,36
origin,"Newcastle, N.B.",36
origin,Genoa,36
origin,Byske,36
origin,Simo,35
origin,Quebec-deals,35
origin,Hudiksvall,35
origin,Boulogne,34
origin,Liverpool,34
origin,Frano,34
origin,Rouen,34
origin,"Soderhamn-deals, &c.",34
origin,"Dalhousie, N.B.",33
origin,Bergen,33
origin,Reval,33
origin,Trondhjem,33
origin,Carlsvik,33
origin,"Miramichi-deals, &c.",33
origin,Finnklippan,32
origin,Brussels,32
origin,"Miramichi, N.B.",32
origin,Uddewalla,32
origin,Goteborg,32
origin,St. John's,31
origin,Madras,31
origin,Lisbon,31
origin,l'Orient,31
origin,"Uleaborg-deals, &c.",31
origin,G'burg,31
origin,"Pictou, N.S.",30
origin,Galveston,30
origin,Brest,30
origin,Koja,30
origin,Pictou,29
origin,W.C. Africa,29
origin,Christianssand,29
origin,St. Domingo,28
origin,Christiansund,28
origin,Timmernabben,28
origin,Landerneau,28
origin,Jacobstadt,27
origin,Stromstad,27
origin,Fernandina,27
origin,Campbellton,27
origin,Skeppsvik,27
origin,Bersimis,27
origin,Riga-deals and ends,27
origin,Harburg,27
origin,Wederlaks,27
origin,"Parrsboro', N.S.",26
origin,Fagervik,26
origin,Kovda,26
origin,Bure,26
origin,G’burg,26
origin,Abyn,25
origin,Chatham,25
origin,Bangor,25
origin,Poti,25
origin,Slite,25
origin,Santa Ana,25
origin,Ghent,24
origin,Maracaibo,24
origin,Snaroen,24
origin,Arno,24
origin,Waterford,24
origin,Christiania-props,24
origin,West Indies,23
origin,Wilmington,23
origin,Kopmanholmen,23
origin,Holmstrand,23
origin,Burea,23
origin,Westerwick,23
origin,London,23
origin,Holmstad,23
origin,Hull,22
origin,Laguna de Terminos,22
origin,"Brunswick, Ga.",22
origin,Swartwick,22
origin,Stromfors,22
origin,Sornas,22
origin,Axim,22
origin,Sandviken,22
origin,Wisby,22
origin,East London,22
origin,Oplo,22
origin,Neder Calix,22
origin,Pont l'Abbé,21
origin,"Shediac, N.B.",21
origin,Sund,21
origin,Cologne,21
origin,Rio Janeiro,21
origin,Bangsund,21
origin,Chicontimi,21
origin,Aalborg,21
origin,Treport,21
origin,Christiansand-props,21
origin,Karlskrona,21
origin,Weener,21
origin,Gustafsberg,21
origin,Falkenburg-props,21
origin,F’stad,21
origin,Musquash,20
origin,Cape Tormentine,20
origin,Leghorn,20
origin,Batoum,20
origin,"Richibucto, N.B.",20
origin,Jerfed,20
origin,Farsund,20
origin,Batiscan,20
origin,Ny Karleby,20
origin,Werkeback,20
origin,Pontaven,19
origin,P'burg-lathwood,19
origin,Raumo,19
origin,Cronstad,19
origin,Bombay,19
origin,Porto Plata,19
origin,Gnarp,19
origin,Trehiguier,19
origin,Old Calabar,19
origin,Sundswall-firewood,19
origin,Memel-sleepers,19
origin,Odense,19
origin,Cienfuegos,19
origin,Aasgaardstrand,19
origin,Fredrikshavn,18
origin,Trouville,18
origin,Salsaker,18
origin,Furuogrund,18
origin,Brahestad,18
origin,Stockaviken,18
origin,Sikea,18
origin,Gefle-battens,18
origin,G'burg-props,18
origin,"Riga-deals, &c.",18
origin,Laurvig-pit props,18
origin,Port Royal,17
origin,G'burg-battens,17
origin,Auckland,17
origin,Charente,17
origin,Marieberg,17
origin,Ramvik,17
origin,Ranea,17
origin,Melbourne,17
origin,Petersburg,17
origin,Stromnas,17
origin,Frederikstadt,17
origin,Montreal and Quebec,17
origin,Curacao,17
origin,Laurvig-props,17
origin,Soon,17
origin,Pyterlaks,17
origin,Ahlafors,17
origin,Kotka-staves,17
origin,Sault-au,17
origin,Cape Town,17
origin,Paskallavik,17
origin,Blankaholm,17
origin,Sundswall-deals,17
origin,Nyvik,17
origin,Miramichi-deals,16
origin,Port Louis,16
origin,Gothenberg,16
origin,"St. John, N B.",16
origin,Vefsen,16
origin,Honfleur,16
origin,Mariehamn,16
origin,Svelvig,16
origin,Danzig-sleepers,16
origin,"Sundswall-deals, &c.",16
origin,"Onega-deals, &c.",16
origin,Xiania-props,16
origin,"Bjorneborg-deals, &c.",16
origin,Venice,16
origin,Helsingborg,16
origin,Kylorn,15
origin,Richmond,15
origin,Schiedam,15
origin,[?],15
origin,Lugnvik,15
origin,Albany,15
origin,Kubikenborg,15
origin,Uto,15
origin,Stockasag,15
origin,"Bay Verte, N.B.",15
origin,Bindalen,15
origin,Tacoma,15
origin,"Christiania, &c.",15
origin,Memel-staves,15
origin,Memel-deals,15
origin,"Richibucto-deals, &c.",15
origin,Norrsundet,15
origin,St. Etienne,14
origin,Rosario,14
origin,Ahus,14
origin,Trinidad,14
origin,"Campbellton, N.B.",14
origin,Alne,14
origin,Oporto,14
origin,Caen,14
origin,Norway,14
origin,Saltvik,14
origin,Sabine Pass,14
origin,"Musquash, N.B.",14
origin,Nystad,14
origin,Panillac,14
origin,"Shediac-deals, &c.",14
origin,Skönvik,14
origin,Drammen-boards,14
origin,Freemantle,14
origin,Asbacka,14
origin,Tremblade,14
origin,Caraminal,14
origin,Fredrickstadt,14
origin,Gothenburg-pit props,14
origin,Sada,13
origin,Knysna,13
origin,Camarinas,13
origin,Rockingham,13
origin,Skein,13
origin,Batvik,13
origin,"Port Royal, S.C.",13
origin,"Campbelltown, N.B.",13
origin,Chicoutimi,13
origin,Douarnenez,13
origin,Windau-sleepers,13
origin,Krageröe,13
origin,G'burg-boards,13
origin,Gothenburg-props,13
origin,Bordeaux-props,13
origin,Campbelton,13
origin,"Saguenay-deals, &c.",13
origin,P. E. Island,13
origin,Parrsborough,13
origin,"Kotka-deals, &c.",13
origin,Bjorneborg-deals,13
origin,"Harvey, N.B.",13
origin,Memel-oak staves,13
origin,Keret,13
origin,Oscarshamn-pit props,13
origin,Kalix,13
origin,Obbola,13
origin,Solstadstrom,12
origin,Danzig-timber,12
origin,"Buctouche, N.B.",12
origin,Audierne,12
origin,St. Margaret's Bay,12
origin,Pont L'Abbe,12
origin,Parrsbro',12
origin,Christinestadt,12
origin,Hamnholmen,12
origin,St. John N.B.,12
origin,Rimouski,12
origin,Sandarne-deals,12
origin,"Lulea-deals, &c.",12
origin,Vera Cruz,12
origin,Newport,12
origin,Newcastle,12
origin,Gideabacka,12
origin,Wiborg,12
origin,Philadelphia-qty. staves,12
origin,Gefle-deals and battens,12
origin,Manilla,12
origin,"Charlotte Town, P.E.I.",12
origin,Rotterdam-wood hoops,12
origin,Dantzie,12
origin,"Campbeltown, N.B.",12
origin,Tunadal,11
origin,Danzig-staves,11
origin,Ship Harbour,11
origin,Puerto Cortes,11
origin,Charlottetown,11
origin,"Bridgwater, N.S.",11
origin,Bay de Verte,11
origin,Warburg,11
origin,Gaspe,11
origin,Treguier,11
origin,"Portland, Maine",11
origin,Belon,11
origin,Sando,11
origin,Dram-battens,11
origin,Porsgrund-props,11
origin,Tillingnabben,11
origin,"Portland, O.",11
origin,Stockholm-deals,11
origin,Kramfors-deals,11
origin,Grand Pabos,11
origin,"Chatham-deals, &c.",11
origin,"Pensacola-deals, &c.",11
origin,Sweden,11
origin,Nuevitas,11
origin,Danzic,11
origin,Tabasco,11
origin,Mexico,11
origin,Bjorneborg-battens,11
