form,dest,n,share_of_form,lift
deals,Leith,1141,0.031,1.13
deals,Inverness,80,0.002,1.13
staves,Granton,113,0.009,1.13
logs,Bristol,64,0.023,1.13
handles,Hull,70,0.101,1.13
firewood,Grimsby,250,0.029,1.12
boards,Gloucester,158,0.01,1.12
sleepers,London,975,0.171,1.12
deal ends,London,517,0.17,1.12
boxboards,Hull,60,0.1,1.12
battens,Hartlepool (West),1298,0.064,1.11
battens,Cork,61,0.003,1.11
boards,Plymouth,65,0.004,1.11
timber,London,1120,0.169,1.11
mouldings,Liverpool,229,0.147,1.11
boards,London,2659,0.167,1.1
hoops,Hull,293,0.098,1.1
doors,Tyne Ports,97,0.069,1.1
deals,EXETER,75,0.002,1.09
battens,Barrow-in-Furness,102,0.005,1.08
sleepers,Grangemouth,186,0.033,1.08
ends,London,1099,0.164,1.08
deals,Goole,216,0.006,1.07
deals,BLYTH,77,0.002,1.07
battens,Tyne Ports,1349,0.067,1.07
ends,Greenock,85,0.013,1.07
staves,London,2131,0.162,1.06
wood,Liverpool,624,0.141,1.06
timber,Tyne Ports,437,0.066,1.05
shooks,London,96,0.16,1.05
boards,Belfast,212,0.013,1.04
poles,Liverpool,292,0.137,1.03
ends,Yarmouth,70,0.01,1.03
battens,Rochester,62,0.003,1.02
palings,London,112,0.155,1.02
oars,Tyne Ports,52,0.063,1.01
deals,NEWHAVEN,126,0.003,1.0
boards,Aberdeen,104,0.007,1.0
firewood,Middlesbrough,65,0.008,0.99
poles,Grimsby,55,0.026,0.99
lathwood,Bristol,81,0.02,0.99
handles,London,105,0.151,0.99
boards,Hull,1397,0.088,0.98
boards,Tyne Ports,968,0.061,0.97
flooring,Tyne Ports,77,0.061,0.97
squares,Glasgow,61,0.033,0.97
boards,Liverpool,2025,0.127,0.96
deals,London,5356,0.145,0.95
battens,Boston,54,0.003,0.95
timber,King's Lynn,51,0.008,0.95
deals,Hartlepool (West),2017,0.054,0.94
deals,Aberdeen,227,0.006,0.94
battens,Middlesbrough,145,0.007,0.94
laths,Liverpool,372,0.125,0.94
deals,Granton,257,0.007,0.92
deals,Glasgow,1138,0.031,0.91
deals,Plymouth,124,0.003,0.91
deals,Rochester,101,0.003,0.91
battens,Hartlepool,56,0.003,0.91
battens,London,2752,0.136,0.9
sleepers,Belfast,66,0.012,0.9
battens,LOWESTOFT,55,0.003,0.89
scantlings,London,287,0.136,0.89
battens,Bristol,353,0.017,0.88
sleepers,Alloa,74,0.013,0.88
deals,Hartlepool,98,0.003,0.87
spars,Liverpool,244,0.115,0.87
sleepers,Newport,92,0.016,0.87
boards,Sunderland,316,0.02,0.86
ends,Leith,156,0.023,0.86
deals,LOWESTOFT,96,0.003,0.85
pit props,MANCHESTER,78,0.004,0.85
deals,Liverpool,4019,0.108,0.82
deals,Montrose,129,0.003,0.82
battens,Hull,1458,0.072,0.81
timber,Grimsby,140,0.021,0.81
pit props,Aberdeen,106,0.005,0.81
ends,Newport,99,0.015,0.8
boards,Middlesbrough,96,0.006,0.79
mining timber,Liverpool,199,0.105,0.79
ends,Cardiff,165,0.025,0.79
deals,MANCHESTER,131,0.004,0.78
deals,Boston,79,0.002,0.76
staves,Tyne Ports,630,0.048,0.76
spars,London,244,0.115,0.76
lathwood,Hartlepool (West),179,0.044,0.76
ends,Hull,456,0.068,0.76
staves,Dublin,62,0.005,0.74
battens,Alloa,220,0.011,0.74
battens,Sunderland,337,0.017,0.72
timber,Glasgow,161,0.024,0.72
logs,Grimsby,53,0.019,0.72
squares,London,203,0.109,0.72
hoops,Liverpool,288,0.096,0.72
deals,Sunderland,599,0.016,0.7
logs,Hull,178,0.063,0.7
staves,Bristol,181,0.014,0.69
wood,Bristol,61,0.014,0.69
staves,Aberdeen,58,0.004,0.68
sleepers,Hull,328,0.057,0.64
staves,Grangemouth,252,0.019,0.63
battens,MANCHESTER,57,0.003,0.63
laths,Glasgow,64,0.021,0.63
pit props,Cardiff,398,0.02,0.63
deals,Tyne Ports,1434,0.039,0.62
staves,Yarmouth,83,0.006,0.62
