dest,n,n_years,top_origin,top_origin_region,top_share,null_top_share,excess_top,p_top,hhi,eff_partners,n_partners
Arbroath,147,10,Riga,Russia & Baltic,0.449,0.069,0.38,0.0,0.226,4.4,30
Greenock,979,13,Quebec City,British North America,0.413,0.061,0.352,0.0,0.198,5.0,84
Dundalk,144,10,Riga,Russia & Baltic,0.368,0.07,0.299,0.0,0.195,5.1,26
Port Glasgow,61,9,Quebec City,British North America,0.377,0.082,0.295,0.0,0.2,5.0,20
WIGTOWN,109,7,Quebec City,British North America,0.358,0.072,0.285,0.0,0.148,6.7,35
Goole,752,11,Rotterdam,France & Low Countries,0.344,0.061,0.283,0.0,0.131,7.6,106
Cardiff,6205,11,Bordeaux,France & Low Countries,0.307,0.059,0.248,0.0,0.107,9.3,204
Londonderry,178,10,St. John,British North America,0.309,0.068,0.241,0.0,0.146,6.8,31
Glasgow,2900,13,New York,USA & Gulf,0.287,0.06,0.227,0.0,0.12,8.4,124
Chester,285,10,Porsgrund,Scandinavia,0.288,0.065,0.223,0.0,0.108,9.2,53
NEWHAVEN,519,10,Dieppe,Britain & Ireland,0.276,0.062,0.213,0.0,0.095,10.6,84
Charlestown,58,4,Christiania,Scandinavia,0.276,0.083,0.193,0.0,0.117,8.5,22
CARLISLE,31,9,Miramichi,British North America,0.29,0.1,0.19,0.0,0.12,8.4,18
Wexford,63,10,St. John,British North America,0.27,0.081,0.189,0.0,0.152,6.6,19
LOWESTOFT,396,10,Riga,Russia & Baltic,0.25,0.063,0.187,0.0,0.094,10.6,73
Boston,460,10,Arendal,Scandinavia,0.25,0.063,0.187,0.0,0.093,10.7,73
Granton,1140,13,Gothenburg,Scandinavia,0.243,0.06,0.182,0.0,0.09,11.1,102
DARTMOUTH,36,10,Gothenburg,Scandinavia,0.278,0.096,0.182,0.0,0.128,7.8,15
Swansea,2649,11,Bordeaux,France & Low Countries,0.241,0.06,0.181,0.0,0.076,13.2,142
BLYTH,225,9,Gothenburg,Scandinavia,0.244,0.066,0.178,0.0,0.087,11.5,47
Tralee,41,9,St. John,British North America,0.268,0.092,0.177,0.0,0.124,8.0,16
Limerick,191,10,St. John,British North America,0.241,0.067,0.174,0.0,0.104,9.6,33
