origin,region,n,eff_dests,n_dests,top_dest,top_dest_share
Quimper,France & Low Countries,130,3.0,9,Swansea,0.423
Belize,USA & Gulf,125,2.6,6,London,0.52
Amsterdam,France & Low Countries,119,4.8,18,London,0.319
Pugwash,British North America,118,6.8,19,Liverpool,0.305
Husum,Scandinavia,115,10.8,28,London,0.191
Doboy,USA & Gulf,113,27.1,46,Liverpool,0.097
Chatham,Other,113,5.6,28,Liverpool,0.389
Parrsboro,British North America,112,4.7,21,Liverpool,0.42
Holmsund,Scandinavia,112,5.6,23,London,0.393
St. Malo,France & Low Countries,111,5.4,16,Swansea,0.252
Umea,Scandinavia,109,11.5,34,London,0.193
Fredrikshamn,Scandinavia,109,11.1,29,Hull,0.193
Minatitlan,USA & Gulf,107,4.0,15,London,0.383
Saguenay,British North America,106,4.7,26,London,0.425
Trois-Rivières,British North America,105,3.5,18,London,0.505
Hallsta,Scandinavia,103,11.8,28,Tyne Ports,0.175
West Bay,British North America,103,6.6,22,Liverpool,0.301
Copenhagen,Germany & Prussia,102,4.4,15,Leith,0.382
Drobak,Scandinavia,101,4.8,18,Hartlepool (West),0.396
Demerara,USA & Gulf,101,4.1,15,Liverpool,0.406
Morlaix,France & Low Countries,101,3.3,10,Swansea,0.455
Moulmein,Africa & Tropics,100,6.6,19,London,0.25
Lillesand,Scandinavia,100,8.5,22,Hartlepool (West),0.21
