type,file,record_id,contaminated_value,detail,raw_text
cargo_in_ship_name,18970918p.408_p001_parsed.json,7e48c08b-dc1f-46dc-a69b-d4ef5be4139f,cedar,cedar,cedar-Crossfield & Co.
cargo_in_ship_name,18970918p.408_p001_parsed.json,1e71fe8b-9a6f-4803-be7b-9c400aec5257,"2,767 pcs. 2,803 lds. pine","pcs.,lds.,pine","2,767 pcs. 2,803 lds. pine"
cargo_in_ship_name,18970918p.408_p001_parsed.json,06b304a1-d547-410b-8d9a-8ac67dba9808,"timber, 2,215 lds. deals-","deals,timber,lds.","timber, 2,215 lds. deals-"
cargo_in_ship_name,18970918p.408_p001_parsed.json,de7d0839-2a98-4201-90a0-debbb67df782,"deals, battens, and boards","deals,boards,battens","deals, battens, and boards-Allan Bros."
cargo_in_ship_name,18970918p.408_p001_parsed.json,2e13ee40-08cc-411e-8d92-e6faac87849f,"deals, battens, and boards","deals,boards,battens","deals, battens, and boards-Allan Bros."
cargo_in_ship_name,18970918p.408_p001_parsed.json,e39ae39c-1088-40df-97cc-296ade5e96ff,boards,boards,boards
cargo_in_ship_name,18970918p.408_p001_parsed.json,fe0a90d5-dd2b-417f-b2a4-eceb638ebbd2,boards,boards,boards
cargo_in_ship_name,18970918p.408_p001_parsed.json,65bfac9e-e5b7-460d-a94f-f98fc7dfacbc,"battens, and boards","boards,battens","battens, and boards-Jewson & Sons"
cargo_in_ship_name,18970918p.408_p001_parsed.json,da293d3c-3f47-4fad-a477-e6c96b3fb637,& Son; 43 lds. sawn fir,"lds.,fir,sawn",& Son; 43 lds. sawn fir-W. H. Ewen
cargo_in_ship_name,18970918p.408_p001_parsed.json,a68d1cb3-edfa-43e5-a8f9-c5978654cb09,"battens, and boards","boards,battens","battens, and boards-J. S. Penny"
cargo_in_ship_name,18970918p.408_p001_parsed.json,53e5b5e6-f90f-4c1d-8ce3-47ffd8e5cf23,"lumber, 83 pcs. oak lumber","pcs.,oak","lumber, 83 pcs. oak lumber-Vincent &"
cargo_in_ship_name,18970918p.408_p001_parsed.json,09f8c06a-4179-4e55-8ae9-31190bfbe8f7,"Co. ; 3,196 pcs. oak lumber,","pcs.,oak","Co. ; 3,196 pcs. oak lumber,"
cargo_in_ship_name,18970918p.408_p001_parsed.json,6e9a793a-c53c-48ad-9be2-7d8f4d29c375,"2,151 pcs. pine lumber","pcs.,pine","2,151 pcs. pine lumber-Taylor & Low"
cargo_in_ship_name,18970918p.408_p001_parsed.json,d72f8385-27c1-4a2b-82f6-6068be73beea,Bros. ; 32 walnut logs,"logs,walnut",Bros. ; 32 walnut logs
cargo_in_ship_name,18970918p.408_p001_parsed.json,511fedef-f364-49fb-837d-0918d7dadf48,"22 555 deals, battens, and boards-","deals,boards,battens","22 555 deals, battens, and boards-"
cargo_in_ship_name,18970918p.408_p001_parsed.json,e6607a3b-4d0b-4773-92c8-1d1e1beae7fa,boards,boards,boards-Watson & Todd
cargo_in_ship_name,18970918p.408_p001_parsed.json,0204ae2b-085f-417e-8fe8-28d999d04830,"Hooper & Co. ; 2,895 deals, boards, and","deals,boards","Hooper & Co. ; 2,895 deals, boards, and"
cargo_in_ship_name,18970918p.408_p001_parsed.json,71338e94-75a7-457c-8d39-c82cdf87540f,"J. S. Fry & Sons ; 1,895 deals-",deals,"J. S. Fry & Sons ; 1,895 deals-"
cargo_in_ship_name,18970918p.408_p001_parsed.json,e9fa2bbb-61fe-46a2-bda8-58a1e855e195,"Fancy  - Bordeaux - 1,400 lds. pitwood-","lds.,pitwood","Fancy (s) - Bordeaux - 1,400 lds. pitwood-"
cargo_in_ship_name,18970918p.408_p001_parsed.json,a1c7bd0e-fba6-45f5-9c6c-3887a201fd46,Newport Pitwood Co.,pitwood,Newport Pitwood Co.
cargo_in_ship_name,18970918p.408_p001_parsed.json,6b4d2ca6-6f15-452b-942b-a082fe1125e3,fir,fir,fir-A. Capelle
cargo_in_ship_name,18970918p.408_p001_parsed.json,54688487-2d59-4e67-9936-b357259eccef,Pitwood Co.,pitwood,Pitwood Co.
cargo_in_ship_name,18970918p.408_p001_parsed.json,cb39563a-4d89-421c-adfa-68341bb0d1f2,"Thomas & Co.; 110 lds. sawn fir,","lds.,fir,sawn","Thomas & Co.; 110 lds. sawn fir,"
cargo_in_ship_name,18970918p.408_p001_parsed.json,c4864316-a817-4ed1-bb5f-70c64cd2a9a8,"hewn fir, 118 lds. hewn oak and","lds.,oak,fir,hewn","hewn fir, 118 lds. hewn oak and"
cargo_in_ship_name,18970918p.408_p001_parsed.json,c54f8a14-47a7-4db1-aafc-a7873556d7cf,elm,elm,elm-Alexanders & Co.
cargo_in_ship_name,18970918p.408_p001_parsed.json,91a3420c-9380-4b90-bc75-72dc9f3bc832,sawn fir,"fir,sawn",sawn fir-C. Jones & Sons
cargo_in_ship_name,18970918p.408_p001_parsed.json,2fdaa6fb-1581-4442-bd3b-5315e64f7efe,boards,boards,boards-Watts & Co.
cargo_in_ship_name,18970918p.408_p001_parsed.json,61e470d0-b0a6-404e-8d3b-59874a2c47df,staves,staves,staves-J. C. Isaacs; 63 lds. staves-N.
cargo_in_ship_name,18970918p.408_p001_parsed.json,ecba00e6-b94e-40c5-8e5a-50d01f78b903,Inch; 56 lds. staves,"staves,lds.",Inch; 56 lds. staves-Phillips Bros.
cargo_in_ship_name,18970918p.408_p001_parsed.json,62bcc216-a5d0-4de4-bae9-8a530aa8d718,"1,286 lds. deals","deals,lds.","1,286 lds. deals-T. Adams & Sons"
cargo_in_ship_name,18970918p.408_p001_parsed.json,e380eb35-eebf-4545-a71a-61662e709824,boards,boards,boards-W. J. Gardner
cargo_in_ship_name,18970918p.408_p001_parsed.json,8507c07f-1f74-450b-9399-d4cee35f620a,"13 Zetland  Rafso-1,122 lds. deals","deals,lds.","13 Zetland (s) Rafso-1,122 lds. deals-T. Adams"
cargo_in_ship_name,18970918p.408_p001_parsed.json,e72664fc-ac7b-4de0-ab9c-b44e86d7721b,"Ashbee, Sons, & Co.",ash,"Ashbee, Sons, & Co."
cargo_in_ship_name,18970918p.408_p001_parsed.json,386d9891-d631-4ec1-8b40-1d04584a5d1d,boards,boards,"boards-Illingworth, Ingham, & Co."
cargo_in_ship_name,18970918p.408_p001_parsed.json,515736c0-eb63-4ac8-b8d6-6e3b5582344e,sleepers,sleepers,sleepers-W. Christie & Co. ; 103 lds. hewn
cargo_in_ship_name,18970918p.408_p001_parsed.json,69ab74ba-300e-4a39-a7ba-56ae456a871d,fir,fir,fir-Bennetts & Co.
cargo_in_ship_name,18970918p.408_p001_parsed.json,ccedb0ae-a57a-4f61-b90b-ec7f53d7e622,"Wilson, Sons, & Co.; 35 lds. slating laths-","laths,lds.","Wilson, Sons, & Co.; 35 lds. slating laths-"
cargo_in_ship_name,18970918p.408_p001_parsed.json,62e0350c-e29c-4649-8b92-8d39eaa0a9a8,Knotts & Baker; 14 lds. laths,"laths,lds.",Knotts & Baker; 14 lds. laths-S Ellis; 172
cargo_in_ship_name,18970918p.408_p001_parsed.json,d8fadef4-74cb-405a-9994-9a0c084efcd5,lds. battens,"battens,lds.",lds. battens-Bennetts & Co.
cargo_in_ship_name,18970918p.408_p001_parsed.json,7ec7ec1b-5ecd-49c9-9f08-5e067aa28ae4,"battens, &c.",battens,"battens, &c.-J. W. Shepherd & Co."
cargo_in_ship_name,18970918p.408_p001_parsed.json,8701150c-b3d2-4bd2-b2a6-a0bee53ad39e,"boards, and ends",boards,"boards, and ends-Hewson, Chapman, & Co."
cargo_in_ship_name,18970918p.408_p001_parsed.json,4c3a2af9-fddf-4657-b9fd-feb509e22265,"283 lds. props, 177 lds. sleepers, 31 lds.","sleepers,props,lds.","283 lds. props, 177 lds. sleepers, 31 lds."
cargo_in_ship_name,18970918p.408_p001_parsed.json,62f9a9c1-328f-4ad3-9cef-38b28f83219d,"rails, 202 lds. posts, &c",lds.,"rails, 202 lds. posts, &c-T Barraclough"
cargo_in_ship_name,18970918p.408_p001_parsed.json,1d240d08-ffa3-47f4-a8c1-b596dec1c05e,"battens, &c.",battens,"battens, &c.-Pickford & Co."
cargo_in_ship_name,18970918p.408_p001_parsed.json,398adf93-a2a9-45e4-bbaa-cbf36cddb428,lds. birch and alder,"lds.,birch",lds. birch and alder-J. W. Baird & Co.
