origin,destination,year,shipments
La Tremblede,Newport,1889,11
Laurvig,London,1881,11
Laurvig,Sunderland,1883,11
Laurvig,Tyne Ports,1899,11
Le Havre,London,1891,11
Le Havre,Southampton,1883,11
Liepāja,Leith,1897,11
Liepāja,London,1874,11
Liepāja,London,1889,11
Liepāja,London,1897,11
Livorno,London,1881,11
Ljusne,London,1889,11
Lorient,Swansea,1883,11
Miramichi,Cardiff,1889,11
Miramichi,Glasgow,1881,11
Montreal,Aberdeen,1895,11
Montreal,Bristol,1887,11
Montreal,Bristol,1891,11
Nantes,Cardiff,1881,11
Narva,Grangemouth,1885,11
New Orleans,Liverpool,1892,11
New York,Gloucester,1881,11
New York,Hull,1881,11
New York,Le Havre,1893,11
New York,Liverpool,1884,11
New York,Liverpool,1888,11
New York,London,1880,11
New York,London,1884,11
New York,Tyne Ports,1895,11
Norfolk,Liverpool,1895,11
Odessa,Hull,1897,11
Oscarshamn,Hartlepool (West),1887,11
Pauillac,Swansea,1897,11
Pensacola,Greenock,1885,11
Pensacola,Liverpool,1895,11
Pensacola,London,1889,11
Philadelphia,London,1897,11
Porsgrund,Alloa,1891,11
Porsgrund,Borrowstounness,1881,11
Porsgrund,Borrowstounness,1897,11
Porsgrund,Borrowstounness,1899,11
Porsgrund,Leith,1881,11
Porsgrund,Liverpool,1897,11
Porsgrund,London,1889,11
Porsgrund,Sunderland,1897,11
Porsgrund,Sunderland,1899,11
Porsgrund,Tyne Ports,1889,11
Quebec City,Cardiff,1889,11
Quebec City,Dublin,1883,11
Quebec City,Glasgow,1885,11
Quebec City,London,1897,11
Quebec City,Tyne Ports,1881,11
Quimper,Newport,1889,11
Quimper,Swansea,1883,11
Rangoon,London,1883,11
Rangoon,London,1893,11
Redon,Newport,1887,11
Riga,Boston,1889,11
Riga,Cardiff,1889,11
Riga,Dublin,1887,11
Riga,Goole,1889,11
Riga,Granton,1883,11
Riga,LOWESTOFT,1891,11
Riga,Liverpool,1874,11
Riga,Liverpool,1891,11
Riga,Methil,1893,11
Riga,Middlesbrough,1885,11
Riga,Newport,1879,11
Riga,Newport,1889,11
Riga,Plymouth,1881,11
Riga,Plymouth,1891,11
Riga,Sunderland,1881,11
Riga,Sunderland,1885,11
Riga,Tyne Ports,1875,11
Risoer,Leith,1895,11
Risoer,Newport,1887,11
Risoer,Newport,1899,11
Rivadeo,Swansea,1883,11
Rotterdam,Grangemouth,1883,11
Rotterdam,Leith,1895,11
Skien,Middlesbrough,1881,11
Skien,Middlesbrough,1895,11
Soderhamn,Hull,1883,11
Soderhamn,Hull,1887,11
Soderhamn,WISBECH,1881,11
St. John,Belfast,1885,11
St. John,Cardiff,1893,11
St. John,Cork,1889,11
St. John,Dublin,1889,11
St. John,Hull,1874,11
St. John,London,1879,11
St. John,London,1889,11
St. John,Londonderry,1883,11
St. John,MANCHESTER,1899,11
St. Petersburg,London,1881,11
Stettin,Borrowstounness,1885,11
Stettin,Gloucester,1879,11
Stettin,Hull,1874,11
Stockholm,Hull,1891,11
Sundswall,Dundee,1875,11
Sundswall,Dundee,1885,11
Sundswall,Grangemouth,1877,11
Sundswall,Grimsby,1897,11
Sundswall,Hull,1875,11
Sundswall,Inverness,1891,11
Sundswall,Liverpool,1891,11
Sundswall,Wick,1881,11
Svartvik,London,1887,11
Svartvik,London,1897,11
Tonsberg,Alloa,1889,11
Trondheim,Hull,1885,11
Trondheim,Leith,1899,11
Uddevalla,Borrowstounness,1899,11
Uddevalla,London,1897,11
Uddevalla,Newcastle upon Tyne,1877,11
Uleaborg,Grimsby,1885,11
Uleaborg,Wick,1881,11
Vannes,Swansea,1897,11
Ventspils,Alloa,1895,11
Västervik (Westerwik),Hull,1895,11
Wyborg,Grimsby,1899,11
Wyborg,Hull,1875,11
Wyborg,Hull,1887,11
Wyborg,Hull,1899,11
Wyborg,Leith,1874,11
Abo,Leith,1889,10
Abo,London,1885,10
Abo,Southampton,1885,10
Alloa,Alloa,1899,10
Apalachicola,Liverpool,1885,10
Archangel,Cardiff,1885,10
Archangel,Dundee,1874,10
Archangel,Grimsby,1881,10
Archangel,Hull,1891,10
Archangel,Hull,1899,10
Archangel,Liverpool,1885,10
Archangel,Plymouth,1895,10
Arendal,Cardiff,1889,10
Arendal,Hull,1897,10
Arendal,Tyne Ports,1891,10
Auray,Newport,1881,10
Auray,Newport,1883,10
Baltimore,Belfast,1891,10
Baltimore,Belfast,1893,10
Baltimore,Bristol,1889,10
Bayonne,Cardiff,1898,10
Belize,Liverpool,1883,10
Belize,London,1879,10
Bergkvara,Hartlepool,1899,10
Bjorneborg,Grangemouth,1887,10
Bjorneborg,London,1885,10
Blaye,Swansea,1893,10
Bordeaux,Llanelli,1887,10
Brevig,Grimsby,1885,10
Brevig,Hartlepool (West),1877,10
Brevig,Hartlepool (West),1879,10
Brevig,Middlesbrough,1895,10
Brevig,Sunderland,1879,10
Brevig,Tyne Ports,1881,10
Carril,Cardiff,1885,10
Chatham,Liverpool,1883,10
Christiania,Grangemouth,1883,10
Christiania,Hartlepool (West),1889,10
Christiansand,Cardiff,1883,10
Christiansand,Cardiff,1895,10
Christiansand,Hartlepool (West),1883,10
Christiansand,Hull,1889,10
Christiansand,Tyne Ports,1875,10
Christiansand,Tyne Ports,1879,10
Colon,Le Havre,1891,10
Cronstadt,Grimsby,1899,10
Cronstadt,Hartlepool (West),1889,10
Cronstadt,Yarmouth,1885,10
Danzig,Alloa,1895,10
Danzig,Grangemouth,1875,10
Danzig,Grangemouth,1877,10
Danzig,Grimsby,1893,10
Danzig,Liverpool,1883,10
Danzig,Liverpool,1891,10
Danzig,Portsmouth,1883,10
Danzig,Southampton,1883,10
Danzig,Sunderland,1899,10
Darien,Liverpool,1881,10
Demerara,Liverpool,1877,10
Drammen,Cardiff,1895,10
Drammen,Cardiff,1899,10
Drammen,Hartlepool (West),1885,10
Drammen,Liverpool,1877,10
Drammen,London,1897,10
Drammen,Rochester,1887,10
Drammen,Tyne Ports,1891,10
Ferrol,Cardiff,1881,10
Fredrikstad,Grangemouth,1877,10
Fredrikstad,London,1875,10
Fredrikstad,Wick,1883,10
Gefle,Liverpool,1895,10
Gefle,Newcastle upon Tyne,1879,10
Gefle,Sunderland,1883,10
Gefle,Tyne Ports,1885,10
Gothenburg,Borrowstounness,1885,10
Gothenburg,Borrowstounness,1887,10
Gothenburg,Borrowstounness,1893,10
Gothenburg,Glasgow,1897,10
Gothenburg,Hartlepool (West),1877,10
Gothenburg,Hull,1900,10
Gothenburg,Southampton,1889,10
Gothenburg,Southampton,1899,10
Gothenburg,Tyne Ports,1884,10
Halden,Alloa,1893,10
Halden,Borrowstounness,1881,10
Halden,Hull,1893,10
Halmstad,Sunderland,1885,10
Halmstad,Sunderland,1887,10
Halmstad,Sunderland,1891,10
Hamburg,London,1895,10
Helsingfors,Hull,1899,10
Hennebont,Cardiff,1879,10
Hernosand,Grangemouth,1885,10
Hernosand,Grimsby,1887,10
Hernosand,Grimsby,1897,10
Hernosand,London,1883,10
Hernosand,London,1887,10
Hudikswall,Grimsby,1879,10
Hudikswall,Hull,1889,10
Hudikswall,Hull,1891,10
Hudikswall,London,1887,10
Hudikswall,Tyne Ports,1883,10
Kalmar,Hull,1895,10
Karlskrona,Sunderland,1887,10
Klaipeda,Alloa,1887,10
Klaipeda,Granton,1889,10
Klaipeda,Granton,1895,10
Klaipeda,Grimsby,1897,10
Klaipeda,Grimsby,1899,10
Klaipeda,Hartlepool (West),1893,10
Klaipeda,Leith,1874,10
Klaipeda,Liverpool,1881,10
Klaipeda,Sunderland,1885,10
Klaipeda,Yarmouth,1889,10
Konigsberg,Hartlepool (West),1891,10
Konigsberg,Hull,1891,10
Konigsberg,Peterhead,1883,10
Kotka,Grangemouth,1891,10
Kotka,Hartlepool (West),1875,10
Kotka,Hartlepool (West),1887,10
Kotka,Tyne Ports,1887,10
Kragero,Hartlepool (West),1889,10
La Roche Bernard,Cardiff,1891,10
La Roche Bernard,Cardiff,1895,10
La Roche Bernard,Swansea,1881,10
Laguna,London,1893,10
Laurvig,Alloa,1881,10
Laurvig,Borrowstounness,1881,10
Le Havre,Liverpool,1883,10
Le Havre,London,1881,10
Liepāja,Borrowstounness,1887,10
Liepāja,Hartlepool (West),1883,10
Liepāja,Leith,1893,10
Liepāja,London,1883,10
Liepāja,London,1891,10
Ljusne,London,1883,10
Lorient,Cardiff,1883,10
Marseille,Le Havre,1893,10
Minatitlan,London,1875,10
Miramichi,Liverpool,1889,10
Mobile,Liverpool,1889,10
Montreal,Aberdeen,1897,10
Montreal,Cardiff,1899,10
Moss,Borrowstounness,1874,10
Moss,Borrowstounness,1881,10
Muros,Cardiff,1895,10
Muros,Cardiff,1897,10
Namsos,Tyne Ports,1889,10
Nantes,Newport,1883,10
Nederkalix,Grimsby,1893,10
New Orleans,Belfast,1899,10
New York,Liverpool,1898,10
Newport News,Glasgow,1899,10
Norrkoping,Hull,1897,10
Nyhamn,London,1889,10
Odessa,London,1881,10
Oscarshamn,Alloa,1885,10
Oscarshamn,Borrowstounness,1881,10
Oscarshamn,Borrowstounness,1889,10
Oscarshamn,Hartlepool (West),1897,10
Oscarshamn,Kirkcaldy,1895,10
Ostend,Sunderland,1887,10
Pensacola,Belfast,1887,10
Pensacola,Fleetwood,1889,10
Pensacola,Greenock,1893,10
Pensacola,Greenock,1895,10
Pensacola,London,1874,10
Pensacola,London,1875,10
Pensacola,London,1887,10
Pensacola,Tyne Ports,1883,10
Pensacola,Tyne Ports,1887,10
Philadelphia,London,1895,10
Pont-l'Abbé,Swansea,1887,10
Porsgrund,Chester,1891,10
Porsgrund,Fraserburgh,1885,10
Porsgrund,Granton,1879,10
Porsgrund,Liverpool,1883,10
Porsgrund,London,1883,10
Porsgrund,Middlesbrough,1889,10
Porsgrund,Newcastle upon Tyne,1877,10
Portland,Glasgow,1883,10
Quebec City,Belfast,1887,10
Quebec City,Bristol,1883,10
Quebec City,Bristol,1887,10
Quebec City,Cork,1885,10
Quebec City,Hartlepool (West),1883,10
Quebec City,London,1893,10
Quebec City,Plymouth,1881,10
Quebec City,Sunderland,1881,10
Quebec City,Tyne Ports,1893,10
Rafso,Hull,1889,10
Rangoon,Glasgow,1895,10
Rangoon,Liverpool,1875,10
Redon,Cardiff,1897,10
Redon,Newport,1879,10
Redon,Newport,1897,10
Reval,London,1899,10
Richibouctou,Glasgow,1881,10
Richibouctou,Liverpool,1874,10
Riga,Barrow-in-Furness,1877,10
Riga,Belfast,1883,10
Riga,Belfast,1885,10
Riga,Cardiff,1891,10
Riga,Dundalk,1885,10
Riga,Gloucester,1881,10
Riga,Goole,1895,10
Riga,Granton,1887,10
Riga,Granton,1893,10
Riga,King's Lynn,1881,10
Riga,LOWESTOFT,1881,10
Riga,LOWESTOFT,1883,10
Riga,Montrose,1881,10
Riga,Montrose,1883,10
Riga,Plymouth,1883,10
Riga,Sunderland,1897,10
Rijeka,London,1899,10
Risoer,Borrowstounness,1883,10
Risoer,Newport,1893,10
Rochefort,Cardiff,1883,10
Rochefort,Swansea,1889,10
Rotterdam,Southampton,1881,10
Saint-Brieuc,Swansea,1885,10
Sandefjord,Alloa,1883,10
Sandefjord,Kirkcaldy,1881,10
Savannah,Liverpool,1887,10
Singapore,London,1891,10
Singapore,London,1897,10
Singapore,London,1899,10
Skelleftea,Grimsby,1885,10
Skelleftea,Grimsby,1895,10
Skelleftea,London,1897,10
Skien,Alloa,1897,10
Skien,Hartlepool (West),1883,10
Skonvik,London,1879,10
Skutskar,Hull,1889,10
Soderhamn,Hull,1899,10
Soderhamn,London,1891,10
Soderhamn,London,1893,10
Soderhamn,Tyne Ports,1883,10
St. John,Barrow-in-Furness,1885,10
St. John,Bristol,1887,10
St. John,Cardiff,1885,10
St. John,Dublin,1895,10
St. John,Glasgow,1881,10
St. John,Gloucester,1879,10
St. John,London,1881,10
St. Petersburg,Leith,1897,10
St. Petersburg,Liverpool,1889,10
St. Petersburg,London,1874,10
Stettin,Alloa,1889,10
Stettin,Alloa,1891,10
Stettin,Borrowstounness,1889,10
Stettin,Borrowstounness,1897,10
Stettin,Bristol,1874,10
Stettin,Bristol,1881,10
Stettin,Cardiff,1895,10
Stettin,Grimsby,1891,10
Stettin,Hartlepool (West),1879,10
Stettin,Sunderland,1895,10
Stettin,Tyne Ports,1883,10
Stockholm,Tyne Ports,1895,10
Sundswall,Aberdeen,1887,10
Sundswall,Alloa,1881,10
Sundswall,Alloa,1883,10
Sundswall,Alloa,1885,10
Sundswall,Dundee,1887,10
Sundswall,Dundee,1891,10
Sundswall,Gloucester,1885,10
Sundswall,Grangemouth,1895,10
Sundswall,Hartlepool (West),1899,10
Sundswall,Leith,1875,10
Sundswall,Lynn,1879,10
Sundswall,Swansea,1877,10
Sundswall,Wick,1885,10
Sundswall,Yarmouth,1889,10
Svartvik,London,1895,10
Sydney,London,1897,10
Tonsberg,Alloa,1897,10
Tonsberg,Borrowstounness,1881,10
Trieste,London,1887,10
Trois-Rivières,London,1883,10
Trondheim,Grangemouth,1887,10
Trondheim,Hull,1887,10
Trondheim,Leith,1887,10
Trondheim,Leith,1891,10
Uddevalla,Sunderland,1895,10
Uleaborg,London,1885,10
Vannes,Swansea,1891,10
Varberg,Hartlepool (West),1887,10
Varberg,Tyne Ports,1881,10
Vilagarcía de Arousa,Cardiff,1897,10
Västervik (Westerwik),Hartlepool (West),1885,10
Wyborg,Grimsby,1887,10
Wyborg,Hull,1897,10
Wyborg,London,1879,10
Antwerp,Liverpool,1887,9
Apalachicola,Greenock,1883,9
Arcachon,Cardiff,1881,9
Arcachon,Cardiff,1883,9
Arcachon,Cardiff,1889,9
Archangel,Bristol,1874,9
Archangel,Bristol,1875,9
Archangel,Bristol,1893,9
Archangel,Cardiff,1887,9
Archangel,Cardiff,1899,9
Archangel,Dundee,1881,9
Archangel,Grimsby,1889,9
Archangel,Hartlepool (West),1877,9
Archangel,Leith,1889,9
Archangel,Liverpool,1875,9
Archangel,Liverpool,1895,9
Archangel,Plymouth,1883,9
Archangel,Yarmouth,1883,9
Archangel,Yarmouth,1897,9
Arendal,Boston,1889,9
Arendal,Hull,1875,9
Arendal,Tyne Ports,1887,9
Auray,Cardiff,1897,9
Auray,Cardiff,1899,9
Auray,Swansea,1899,9
Baltimore,Belfast,1889,9
Baltimore,Bristol,1897,9
Baltimore,London,1897,9
Bayonne,Newport,1880,9
Belize,Liverpool,1893,9
Belize,London,1891,9
Bergkvara,Hartlepool (West),1887,9
Bjorneborg,King's Lynn,1881,9
Bordeaux,Belfast,1885,9
Bordeaux,Berwick-upon-Tweed,1881,9
Bordeaux,Cardiff,1886,9
Bordeaux,Leith,1891,9
Boston,Hull,1883,9
Boston,Hull,1897,9
Brevig,Hull,1895,9
Brevig,Sunderland,1881,9
Brevig,Sunderland,1895,9
Charleston,Liverpool,1885,9
Charleston,Liverpool,1887,9
Christiania,Borrowstounness,1887,9
Christiania,Grangemouth,1881,9
Christiania,Grangemouth,1895,9
Christiania,Granton,1881,9
Christiania,Grimsby,1891,9
Christiania,Hartlepool (West),1883,9
Christiania,Kirkcaldy,1883,9
Christiania,Kirkcaldy,1889,9
Christiania,Liverpool,1893,9
Christiansand,Cardiff,1881,9
Christiansand,Cardiff,1887,9
Christiansand,Cardiff,1891,9
Christiansand,Cardiff,1893,9
Christiansand,Hartlepool (West),1885,9
Christinestad,Montrose,1881,9
Colberg,Sunderland,1885,9
Colombo,London,1874,9
Colombo,London,1881,9
Colombo,London,1899,9
Colon,London,1895,9
Copenhagen,Leith,1889,9
Cronstadt,Aberdeen,1897,9
Cronstadt,Dundee,1879,9
Cronstadt,Hull,1889,9
Cronstadt,King's Lynn,1881,9
Cronstadt,Liverpool,1877,9
Cronstadt,Rochester,1883,9
Danzig,Boston,1899,9
Danzig,Grangemouth,1874,9
Danzig,King's Lynn,1893,9
Danzig,Leith,1899,9
Danzig,Liverpool,1879,9
Danzig,Rochester,1885,9
Danzig,WISBECH,1885,9
Drammen,Alloa,1891,9
Drammen,Cardiff,1881,9
Drammen,Hull,1881,9
Drammen,Hull,1887,9
Drammen,Hull,1895,9
Drammen,Leith,1877,9
Drammen,Liverpool,1891,9
Drammen,MANCHESTER,1895,9
Drammen,Yarmouth,1885,9
Drobak,Hartlepool (West),1887,9
Falkenberg,Borrowstounness,1877,9
Falkenberg,Borrowstounness,1897,9
Ferrol,Cardiff,1889,9
Fredrikstad,Belfast,1897,9
Fredrikstad,Bristol,1875,9
Fredrikstad,Bristol,1877,9
Fredrikstad,Bristol,1881,9
Fredrikstad,Dublin,1899,9
Fredrikstad,Preston,1899,9
Fredrikstad,Swansea,1893,9
Fredrikstad,Swansea,1899,9
Fredrikstad,Tyne Ports,1893,9
Gefle,Cardiff,1889,9
Gefle,Gloucester,1879,9
Gefle,Grimsby,1881,9
Gefle,Liverpool,1893,9
Gefle,Shoreham,1893,9
Gefle,Shoreham,1895,9
Gefle,Sunderland,1877,9
Gefle,Sunderland,1879,9
Gothenburg,BLYTH,1891,9
Gothenburg,Borrowstounness,1874,9
Gothenburg,Borrowstounness,1899,9
Gothenburg,Fleetwood,1891,9
Gothenburg,Grangemouth,1875,9
Gothenburg,Grangemouth,1879,9
Gothenburg,Grangemouth,1885,9
Gothenburg,Hartlepool (West),1884,9
Gothenburg,Kirkcaldy,1887,9
Gothenburg,Methil,1893,9
Gothenburg,Middlesbrough,1881,9
Gothenburg,Southampton,1885,9
Gothenburg,Yarmouth,1879,9
Gothenburg,Yarmouth,1897,9
Halden,Hull,1887,9
Halden,Hull,1889,9
Halden,Hull,1891,9
Halden,Tyne Ports,1885,9
Halden,Tyne Ports,1887,9
Halden,Tyne Ports,1893,9
Halmstad,Alloa,1883,9
Halmstad,BLYTH,1895,9
Halmstad,Hull,1897,9
Halmstad,Sunderland,1895,9
Halmstad,Tyne Ports,1899,9
Hamburg,Grangemouth,1883,9
Hamburg,King's Lynn,1883,9
Helsingfors,London,1895,9
Hennebont,Cardiff,1883,9
Hennebont,Swansea,1899,9
Hernosand,Inverness,1899,9
Holmestrand,Borrowstounness,1881,9
Holmestrand,Borrowstounness,1887,9
Holmestrand,Leith,1883,9
Holmsund,London,1879,9
Hommelvik,Grangemouth,1887,9
Hudikswall,Hartlepool (West),1891,9
Istanbul,Liverpool,1874,9
Jamaica,Glasgow,1883,9
Jamaica,Liverpool,1874,9
Jamaica,London,1875,9
Jamaica,Southampton,1895,9
Kalmar,Hartlepool (West),1899,9
Kalmar,Tyne Ports,1887,9
Karlshamn,Hartlepool (West),1889,9
Karlskrona,Hartlepool (West),1899,9
Klaipeda,Alloa,1891,9
Klaipeda,Belfast,1883,9
Klaipeda,Boston,1887,9
Klaipeda,Grangemouth,1875,9
Klaipeda,Grangemouth,1877,9
Klaipeda,Granton,1885,9
Klaipeda,Grimsby,1879,9
Klaipeda,Leith,1889,9
Klaipeda,Leith,1899,9
Klaipeda,Tyne Ports,1885,9
Konigsberg,Alloa,1895,9
Konigsberg,Alloa,1897,9
Konigsberg,London,1891,9
Kotka,Grimsby,1881,9
Kotka,Hull,1879,9
Kotka,London,1893,9
Kotka,Rochester,1887,9
Kragero,Borrowstounness,1889,9
Kragero,Cardiff,1887,9
Kragero,Liverpool,1887,9
Kragero,Sunderland,1883,9
Kragero,Tyne Ports,1899,9
La Roche Bernard,Newport,1879,9
La Roche Bernard,Newport,1881,9
La Rochelle,Swansea,1889,9
Laguna,Liverpool,1897,9
Langror,Shoreham,1885,9
Laurvig,Hartlepool (West),1877,9
Laurvig,Liverpool,1889,9
Laurvig,Sunderland,1885,9
Le Havre,Southampton,1897,9
Liepāja,Alloa,1899,9
Liepāja,Grangemouth,1897,9
Liepāja,Hull,1893,9
Liepāja,Leith,1891,9
Liverpool,Le Havre,1893,9
Ljusne,London,1885,9
Ljusne,London,1891,9
Ljusne,London,1895,9
London,MONTREAL,1893,9
Lorient,Newport,1881,9
Lorient,Newport,1897,9
Lulea,Grimsby,1877,9
Lulea,Poole,1893,9
Minatitlan,London,1881,9
Miramichi,Dublin,1883,9
Miramichi,Dublin,1889,9
Miramichi,Liverpool,1891,9
Miramichi,London,1879,9
Montreal,Dundee,1895,9
Montreal,Swansea,1893,9
Montreal,Tyne Ports,1897,9
Moss,Sunderland,1887,9
Muros,Cardiff,1887,9
Muros,Cardiff,1891,9
Narva,Leith,1889,9
New Orleans,Le Havre,1891,9
New Orleans,London,1889,9
New York,Bristol,1877,9
New York,Glasgow,1892,9
New York,Leith,1889,9
New York,Leith,1895,9
New York,Liverpool,1882,9
New York,Liverpool,1890,9
New York,Tyne Ports,1891,9
Newport News,London,1891,9
Newport News,London,1897,9
Newport News,London,1900,9
Norfolk,London,1899,9
Norrkoping,London,1893,9
Oscarshamn,Hull,1893,9
Oscarshamn,Liverpool,1887,9
Oscarshamn,Liverpool,1893,9
Oscarshamn,Sunderland,1887,9
Oscarshamn,Sunderland,1889,9
Pascagoula,Liverpool,1889,9
Pensacola,Gloucester,1891,9
Pensacola,Greenock,1874,9
Pensacola,Hull,1883,9
Pensacola,Liverpool,1879,9
Pensacola,London,1893,9
Pensacola,London,1899,9
Pensacola,Newport,1889,9
Pitea,Hartlepool (West),1881,9
Pitea,London,1879,9
Porsgrund,Grangemouth,1874,9
Porsgrund,Grimsby,1881,9
Porsgrund,Hull,1893,9
Porsgrund,Middlesbrough,1893,9
Porsgrund,Tyne Ports,1891,9
Porsgrund,Tyne Ports,1895,9
Port Launay,Cardiff,1881,9
Portland,Liverpool,1893,9
Quebec City,Belfast,1889,9
Quebec City,Bristol,1891,9
Quebec City,Charlestown,1877,9
Quebec City,Gloucester,1879,9
Quebec City,Hartlepool (West),1877,9
Quebec City,Leith,1889,9
Quebec City,Plymouth,1885,9
Quebec City,Sunderland,1897,9
Quimper,Swansea,1889,9
Rafso,Grangemouth,1895,9
Rafso,London,1895,9
Rangoon,Liverpool,1883,9
Redon,Cardiff,1893,9
Riga,Aberdeen,1889,9
Riga,Arbroath,1887,9
Riga,Arbroath,1889,9
Riga,Belfast,1891,9
Riga,Borrowstounness,1895,9
Riga,Borrowstounness,1897,9
Riga,Cardiff,1881,9
Riga,Cardiff,1897,9
Riga,Dublin,1881,9
Riga,Dublin,1889,9
Riga,Dundee,1877,9
Riga,LOWESTOFT,1887,9
Riga,LOWESTOFT,1899,9
Riga,MANCHESTER,1895,9
Riga,Newport,1887,9
Riga,Newport,1895,9
Riga,Plymouth,1885,9
Riga,Southampton,1883,9
Riga,Southampton,1887,9
Riga,Southampton,1895,9
Riga,Sunderland,1893,9
Riga,Tyne Ports,1897,9
Risoer,Alloa,1885,9
Risoer,Cardiff,1881,9
Risoer,Hull,1897,9
Risoer,Newport,1883,9
Risoer,Wick,1885,9
Rotterdam,Cork,1897,9
Rotterdam,London,1897,9
Rotterdam,Southampton,1885,9
Sandarne,London,1885,9
Sandefjord,Kirkcaldy,1883,9
Sarpsborg,Barrow-in-Furness,1893,9
Shediac,Liverpool,1879,9
Skelleftea,Grimsby,1897,9
Skelleftea,London,1879,9
Skelleftea,London,1899,9
Skelleftea,Whitehaven,1883,9
Skien,Hartlepool (West),1887,9
Skien,Hull,1874,9
Skien,Tyne Ports,1885,9
Skutskar,Grimsby,1895,9
Skutskar,Hull,1893,9
Skutskar,Hull,1899,9
Soderhamn,Gloucester,1885,9
Soderhamn,Hartlepool (West),1885,9
Soderhamn,Hartlepool (West),1887,9
Soderhamn,Hartlepool (West),1889,9
Soderhamn,Hartlepool (West),1891,9
Soderhamn,Hull,1874,9
Soderhamn,Hull,1875,9
Soderhamn,Hull,1879,9
St. John,Belfast,1895,9
St. John,Cork,1891,9
St. John,Dublin,1893,9
St. John,Fleetwood,1889,9
St. John,Gloucester,1883,9
St. John,Gloucester,1885,9
St. John,London,1887,9
St. John,London,1895,9
St. Nazaire,Newport,1883,9
St. Petersburg,London,1879,9
Stettin,Gloucester,1881,9
Stettin,Grangemouth,1885,9
Stettin,Grimsby,1885,9
Stettin,Grimsby,1889,9
Stettin,MANCHESTER,1899,9
Stettin,Plymouth,1889,9
Stettin,Sunderland,1891,9
Stettin,Tyne Ports,1895,9
Stocka,Grimsby,1895,9
Stockholm,Hull,1889,9
Stockholm,Hull,1893,9
Stockholm,London,1897,9
Sundswall,Goole,1887,9
Sundswall,Granton,1893,9
Sundswall,Inverness,1887,9
Sundswall,Leith,1891,9
Sundswall,Peterhead,1895,9
Sundswall,Poole,1887,9
Sundswall,Sunderland,1889,9
Sundswall,Tyne Ports,1887,9
Sundswall,Tyne Ports,1889,9
Tonsberg,Borrowstounness,1899,9
Trangsund,Hull,1899,9
Trieste,London,1881,9
Trondheim,Leith,1893,9
Trondheim,Leith,1895,9
Trondheim,London,1895,9
Tvedestrand,Hartlepool (West),1891,9
Tvedestrand,Hartlepool (West),1895,9
Uddevalla,Hartlepool (West),1889,9
Uddevalla,London,1885,9
Uddevalla,Sunderland,1891,9
Vaasa,London,1899,9
Vannes,Cardiff,1895,9
Vannes,Newport,1893,9
Vlissingen,London,1897,9
Västervik (Westerwik),Hartlepool (West),1883,9
Västervik (Westerwik),Hartlepool (West),1899,9
Västervik (Westerwik),Hull,1889,9
W. C. Africa,Liverpool,1895,9
Waterford,Cardiff,1877,9
Wyborg,London,1889,9
Wyborg,WISBECH,1881,9
Abo,Hull,1899,8
Abo,Southampton,1883,8
Antwerp,London,1883,8
Archangel,Dublin,1885,8
Archangel,Gloucester,1885,8
Archangel,Grimsby,1891,8
Archangel,Hartlepool (West),1879,8
Archangel,Hartlepool (West),1895,8
Archangel,Hull,1885,8
Archangel,Leith,1881,8
Archangel,Leith,1893,8
Archangel,Liverpool,1879,8
Archangel,Liverpool,1897,8
Archangel,Plymouth,1881,8
Archangel,Southampton,1895,8
Arendal,Borrowstounness,1881,8
Arendal,Boston,1893,8
Arendal,King's Lynn,1881,8
Bahia,London,1881,8
Baltimore,London,1883,8
Bangkok,Greenock,1895,8
Bangkok,Greenock,1897,8
Bathurst,Gloucester,1889,8
Bergkvara,Hartlepool (West),1891,8
Bergkvara,Hull,1899,8
Bjorneborg,Grangemouth,1883,8
Bjorneborg,Grangemouth,1885,8
Bjorneborg,Grangemouth,1891,8
Bjorneborg,Grimsby,1889,8
Bjorneborg,Hartlepool (West),1883,8
Bjorneborg,London,1887,8
Bjorneborg,Montrose,1887,8
Blaye,Llanelli,1893,8
Bordeaux,Cardiff,1880,8
Bordeaux,Hull,1891,8
Bordeaux,Newport,1884,8
Borga,Montrose,1883,8
Boston,Hull,1889,8
Boston,Hull,1893,8
Boston,Liverpool,1884,8
Bremen,Hull,1887,8
Bremen,Hull,1899,8
Brevig,Chester,1881,8
Brevig,Middlesbrough,1881,8
Brevig,Middlesbrough,1891,8
Chatham,Liverpool,1877,8
Chatham,Liverpool,1881,8
Christiania,Borrowstounness,1891,8
Christiania,Gloucester,1889,8
Christiania,Kirkcaldy,1887,8
Christiania,Plymouth,1899,8
Christiania,Wick,1881,8
Christiansand,Alloa,1887,8
Christiansand,Borrowstounness,1893,8
Christiansand,Leith,1885,8
Christiansand,Newcastle upon Tyne,1879,8
Christiansand,Tyne Ports,1889,8
Christiansand,Tyne Ports,1891,8
Cronstadt,Bristol,1877,8
Cronstadt,Granton,1885,8
Cronstadt,Granton,1893,8
Cronstadt,Grimsby,1879,8
Cronstadt,Hartlepool (West),1887,8
Cronstadt,King's Lynn,1883,8
Cronstadt,London,1899,8
Cronstadt,Montrose,1881,8
Cronstadt,Newcastle upon Tyne,1877,8
Cronstadt,Tyne Ports,1875,8
Cronstadt,WISBECH,1885,8
Dalhousie,Liverpool,1883,8
Danzig,LOWESTOFT,1895,8
Danzig,Liverpool,1877,8
Danzig,Liverpool,1887,8
Danzig,Southampton,1887,8
Danzig,Southampton,1899,8
