origin,destination,year,shipments
Riga,Grangemouth,1889,65
Rotterdam,Liverpool,1887,65
St. Petersburg,London,1889,65
Baltimore,Liverpool,1891,64
Gothenburg,Hull,1897,64
Hennebont,Newport,1881,64
Montreal,Liverpool,1889,64
Quebec City,Liverpool,1883,64
Redon,Cardiff,1881,64
Riga,Grangemouth,1877,64
Gothenburg,Hull,1883,63
Gothenburg,Tyne Ports,1887,63
Klaipeda,London,1879,63
Quebec City,London,1883,63
Riga,Hull,1895,63
Riga,London,1881,63
Gothenburg,London,1879,62
Gothenburg,London,1881,62
Gothenburg,Sunderland,1895,62
New Orleans,Liverpool,1895,62
Riga,London,1883,62
Bordeaux,Cardiff,1879,61
Bordeaux,Swansea,1893,61
Cronstadt,Hull,1881,61
Montreal,London,1899,61
New York,London,1899,61
Quebec City,Liverpool,1881,61
Rotterdam,Goole,1885,61
Quebec City,London,1885,60
Riga,Hartlepool (West),1874,60
Riga,Hull,1899,60
Rotterdam,Leith,1881,60
Arendal,Tyne Ports,1883,59
Baltimore,Liverpool,1895,59
Bayonne,Cardiff,1893,59
Bordeaux,Newport,1891,59
Gothenburg,Hartlepool (West),1897,59
Hernosand,Hartlepool (West),1895,59
Quebec City,Liverpool,1875,59
Redon,Swansea,1883,59
Riga,London,1891,59
Baltimore,Liverpool,1883,58
Baltimore,Liverpool,1887,58
Cronstadt,Hull,1883,58
Gothenburg,Hartlepool (West),1887,58
Gothenburg,Hull,1885,58
Gothenburg,London,1891,58
New York,London,1893,58
Rotterdam,Leith,1889,58
Sundswall,London,1889,58
Bordeaux,Newport,1895,57
Bordeaux,Newport,1899,57
Bordeaux,Swansea,1883,57
Gothenburg,Sunderland,1887,57
Bordeaux,Newport,1897,56
Gothenburg,Grimsby,1897,56
Gothenburg,Hull,1891,56
New Orleans,Liverpool,1897,56
Quebec City,Liverpool,1879,56
Riga,Hull,1879,56
Riga,Hull,1885,56
St. John,Liverpool,1875,56
Boston,London,1899,55
Christiania,Hull,1887,55
Danzig,London,1885,55
Dieppe,NEWHAVEN,1883,55
Fredrikstad,London,1883,55
Klaipeda,London,1874,55
Montreal,Glasgow,1899,55
Montreal,Liverpool,1881,55
New York,London,1897,55
Baltimore,Liverpool,1885,54
Christiania,London,1887,54
Cronstadt,London,1874,54
Gothenburg,Sunderland,1889,54
Riga,Grimsby,1889,54
Danzig,London,1879,53
Gothenburg,Sunderland,1883,53
Montreal,Liverpool,1891,53
Porsgrund,Hartlepool (West),1883,53
Riga,Hartlepool (West),1877,53
Riga,Hull,1881,53
Fredrikstad,London,1895,52
Fredrikstad,London,1899,52
Gothenburg,Tyne Ports,1885,52
Klaipeda,London,1887,52
Rotterdam,Tyne Ports,1885,52
Bayonne,Cardiff,1891,51
Bordeaux,Newport,1893,51
Christiansand,Borrowstounness,1881,51
Gothenburg,Hull,1893,51
Gothenburg,Sunderland,1899,51
Gothenburg,Tyne Ports,1875,51
Hennebont,Newport,1889,51
Riga,Grangemouth,1874,51
Riga,Grangemouth,1883,51
Riga,Grangemouth,1885,51
Riga,Grimsby,1881,51
Rotterdam,Goole,1897,51
Rotterdam,Leith,1891,51
St. John,Liverpool,1879,51
Gothenburg,Hartlepool (West),1883,50
Gothenburg,Hartlepool (West),1891,50
Gothenburg,Sunderland,1885,50
Gothenburg,Tyne Ports,1895,50
Montreal,Liverpool,1885,50
New York,Glasgow,1895,50
Quebec City,London,1874,50
Riga,Grangemouth,1881,50
Riga,Grangemouth,1899,50
Rotterdam,Goole,1891,50
Sundswall,London,1883,50
Bordeaux,Newport,1885,49
Christiania,Borrowstounness,1877,49
Christiania,Hull,1889,49
Danzig,London,1874,49
Danzig,London,1881,49
Fredrikstad,London,1887,49
Riga,Dundee,1887,49
Riga,Grimsby,1877,49
Soderhamn,London,1879,49
St. John,Liverpool,1881,49
Baltimore,Liverpool,1889,48
Bayonne,Newport,1883,48
Riga,Grangemouth,1893,48
Riga,London,1899,48
Rotterdam,Grangemouth,1897,48
St. John,Liverpool,1889,48
Baltimore,Liverpool,1893,47
Cronstadt,Hull,1875,47
Cronstadt,London,1881,47
Gothenburg,Tyne Ports,1897,47
Hennebont,Newport,1883,47
Montreal,Glasgow,1893,47
Montreal,Glasgow,1897,47
Quebec City,Greenock,1881,47
Riga,Hull,1889,47
Rotterdam,Hull,1891,47
Gothenburg,Grimsby,1895,46
Gothenburg,Hartlepool (West),1885,46
Gothenburg,Tyne Ports,1891,46
Rotterdam,Belfast,1889,46
Rotterdam,Grimsby,1883,46
St. Petersburg,Hull,1895,46
St. Petersburg,London,1891,46
Stettin,Hull,1883,46
Cronstadt,Leith,1881,45
Fredrikstad,London,1889,45
Gefle,Hartlepool (West),1875,45
Halmstad,Alloa,1891,45
Montreal,Liverpool,1883,45
New York,Glasgow,1899,45
Rotterdam,Liverpool,1889,45
St. John,Liverpool,1883,45
St. Petersburg,Hull,1889,45
Stettin,Sunderland,1885,45
Stockholm,Hull,1887,45
Bordeaux,Swansea,1891,44
Boston,Glasgow,1883,44
Cronstadt,London,1887,44
Gothenburg,Hull,1899,44
Halmstad,Sunderland,1881,44
Halmstad,Tyne Ports,1883,44
Hennebont,Newport,1885,44
Hennebont,Newport,1895,44
Philadelphia,Liverpool,1881,44
Quebec City,Liverpool,1885,44
Riga,Hartlepool (West),1875,44
Riga,London,1895,44
St. Petersburg,Hull,1887,44
Baltimore,London,1891,43
Cronstadt,Leith,1885,43
Fredrikstad,London,1891,43
Gefle,Hartlepool (West),1879,43
Gefle,Hull,1883,43
Montreal,Glasgow,1885,43
Rotterdam,Tyne Ports,1893,43
Blaye,Swansea,1885,42
Dordrecht,Tyne Ports,1887,42
Falkenberg,Borrowstounness,1889,42
Halmstad,Alloa,1893,42
Laurvig,Tyne Ports,1881,42
Liepāja,London,1899,42
Montreal,London,1897,42
Pensacola,Liverpool,1881,42
Philadelphia,London,1891,42
Redon,Cardiff,1879,42
Redon,Swansea,1887,42
Riga,Dundee,1895,42
Riga,Hartlepool (West),1881,42
Riga,Hartlepool (West),1883,42
Riga,Hull,1874,42
Rotterdam,Liverpool,1885,42
St. Petersburg,London,1895,42
Stettin,London,1887,42
Archangel,Hull,1879,41
Archangel,London,1879,41
Auray,Cardiff,1883,41
Christiania,Hull,1883,41
Christiania,London,1883,41
Christiania,Tyne Ports,1887,41
Christiania,Tyne Ports,1899,41
Danzig,London,1887,41
Danzig,London,1889,41
Falkenberg,Borrowstounness,1883,41
Gothenburg,Liverpool,1885,41
Hamburg,London,1891,41
Riga,Dundee,1899,41
Riga,Hartlepool (West),1879,41
Riga,Hull,1897,41
Riga,Leith,1889,41
Rotterdam,Grimsby,1891,41
Rotterdam,Tyne Ports,1881,41
Sundswall,Grangemouth,1889,41
Baltimore,Glasgow,1887,40
Baltimore,Liverpool,1881,40
Christiania,Hull,1885,40
