origin,commodity_form,year,shipments
Quebec City,deals,1883,435
New York,staves,1887,419
New York,staves,1885,411
Rotterdam,hoops,1885,410
New York,staves,1883,394
Rotterdam,hoops,1883,382
Gothenburg,pit props,1889,380
New York,staves,1889,368
Bordeaux,pitwood,1889,365
Riga,deals,1889,361
Riga,deals,1887,354
Quebec City,deals,1881,343
Quebec City,deals,1874,338
Gothenburg,pit props,1887,328
Quebec City,deals,1885,322
Gothenburg,pit props,1899,313
Gothenburg,pit props,1895,304
Montreal,deals,1899,304
Rotterdam,hoops,1887,296
Rotterdam,hoops,1889,290
Gothenburg,pit props,1883,289
Rotterdam,hoops,1891,285
Riga,deals,1885,282
Bordeaux,pitwood,1887,280
Gothenburg,pit props,1893,276
Gothenburg,pit props,1885,270
Riga,deals,1891,270
Quebec City,deals,1877,269
Montreal,deals,1897,265
Bordeaux,pitwood,1891,264
Bordeaux,pitwood,1883,262
Gothenburg,pit props,1897,262
Riga,deals,1881,261
New York,staves,1891,258
Riga,deals,1883,258
Gothenburg,laths,1899,257
Bordeaux,pitwood,1897,255
Cronstadt,deals,1883,254
Bordeaux,pitwood,1893,252
Cronstadt,deals,1885,247
Quebec City,deals,1875,247
Bordeaux,pitwood,1895,245
Riga,sleepers,1889,245
New York,staves,1881,244
Gothenburg,pit props,1891,240
Quebec City,deals,1879,240
Riga,lathwood,1881,239
Gothenburg,pit props,1881,238
Quebec City,deals,1889,235
Montreal,deals,1893,228
Riga,deals,1895,226
Bordeaux,pitwood,1885,222
Cronstadt,deals,1881,217
Riga,battens,1899,217
Gefle,deals,1879,216
Gothenburg,laths,1897,212
Montreal,deals,1895,212
Riga,lathwood,1889,211
Riga,deals,1899,210
Riga,deals,1893,209
Bordeaux,pitwood,1899,208
Riga,lathwood,1885,206
Riga,lathwood,1887,204
Cronstadt,deals,1889,203
Riga,sleepers,1881,203
Gothenburg,boards,1899,202
Sundswall,battens,1889,202
Cronstadt,lathwood,1883,198
Riga,sleepers,1874,198
Quebec City,staves,1874,196
Quebec City,staves,1883,196
Rotterdam,hoops,1897,196
Cronstadt,battens,1889,195
Quebec City,deals,1887,193
Bordeaux,pitwood,1881,192
Gothenburg,laths,1895,192
St. John,deals,1883,190
Riga,lathwood,1883,189
Riga,deals,1879,188
St. John,deals,1881,188
Gothenburg,deals,1885,185
Gothenburg,battens,1889,183
Montreal,deals,1889,183
Gothenburg,laths,1889,182
New York,staves,1897,182
Archangel,deals,1879,181
Gothenburg,deals,1883,181
New York,lumber,1889,179
Montreal,deals,1887,178
New York,lumber,1897,178
Riga,deals,1877,177
Sundswall,battens,1883,177
Boston,staves,1885,173
Boston,staves,1883,172
New York,staves,1893,172
Sundswall,battens,1885,172
New York,staves,1899,171
Riga,sleepers,1883,171
Boston,staves,1889,170
Pensacola,deals,1881,170
Montreal,boards,1899,169
Boston,staves,1887,168
Sundswall,deals,1883,168
Cronstadt,battens,1885,167
Montreal,ends,1899,167
Cronstadt,battens,1883,166
Gefle,deals,1883,166
