origin,commodity_form,year,shipments
Gothenburg,laths,1881,165
Riga,battens,1895,165
St. John,deals,1889,165
Cronstadt,lathwood,1881,164
Gothenburg,boards,1883,163
Gothenburg,laths,1885,163
Riga,battens,1889,163
Riga,sleepers,1885,163
Archangel,deals,1895,162
Cronstadt,deals,1879,161
Gefle,deals,1881,161
New York,lumber,1899,160
Cronstadt,deals,1887,159
Gothenburg,laths,1883,159
Gothenburg,boards,1895,158
Christiania,pit props,1881,157
Miramichi,deals,1883,157
Pensacola,deals,1889,157
Gothenburg,battens,1885,156
Montreal,deals,1885,156
Pensacola,deals,1883,153
Riga,deals,1874,153
Riga,sleepers,1877,153
Cronstadt,deals,1874,152
Gothenburg,laths,1891,151
Gothenburg,battens,1881,150
Christiania,pit props,1889,148
Gothenburg,deals,1889,148
Gothenburg,laths,1887,148
Gothenburg,sleepers,1899,148
Quebec City,deal ends,1883,148
Rotterdam,wood,1883,148
Sundswall,deals,1885,147
Sundswall,deals,1889,147
Riga,sleepers,1879,146
St. John,deals,1885,146
Boston,lumber,1899,144
Gothenburg,boards,1885,144
Montreal,boards,1897,144
Christiania,boards,1887,143
Cronstadt,battens,1887,143
Gothenburg,battens,1883,143
Gothenburg,battens,1887,142
Quebec City,staves,1877,142
Archangel,deals,1881,141
Cronstadt,deals,1893,141
Cronstadt,lathwood,1879,141
Riga,battens,1897,141
Riga,lathwood,1899,141
Cronstadt,lathwood,1885,139
Riga,deals,1897,139
Sundswall,battens,1881,139
Montreal,deals,1883,138
Sundswall,firewood,1889,137
Gothenburg,deals,1881,136
Gothenburg,sleepers,1889,135
Riga,battens,1893,135
Boston,staves,1893,134
Klaipeda,staves,1883,134
Christiania,pit props,1883,132
Gothenburg,deals,1897,132
New York,staves,1895,132
Cronstadt,battens,1893,131
Fredrikstad,boards,1891,131
Gothenburg,battens,1891,131
Gothenburg,deals,1887,131
Miramichi,deals,1881,131
Quebec City,deals,1891,131
Cronstadt,battens,1895,130
Cronstadt,deals,1895,130
Gothenburg,battens,1893,130
New York,lumber,1887,130
Gothenburg,battens,1899,129
Gothenburg,boards,1897,129
Gothenburg,deals,1899,129
New York,lumber,1891,129
Riga,lathwood,1895,129
Gothenburg,deals,1895,128
Halmstad,pit props,1895,128
Christiania,pit props,1877,127
Cronstadt,deals,1875,127
Gothenburg,boards,1891,127
Halmstad,pit props,1893,127
Gothenburg,pit props,1877,126
New York,lumber,1893,126
Archangel,deals,1887,125
Boston,staves,1899,125
Cronstadt,battens,1881,125
Gothenburg,battens,1895,125
Sundswall,battens,1891,125
Fredrikstad,boards,1899,124
Halmstad,pit props,1891,124
Riga,lathwood,1891,124
Cronstadt,deals,1899,123
Riga,sleepers,1887,123
Riga,sleepers,1899,123
Rotterdam,wood,1885,123
Sundswall,deals,1881,123
Boston,staves,1895,122
Fredrikstad,boards,1889,122
Halmstad,pit props,1899,122
New York,handles,1887,122
Rotterdam,hoops,1881,122
Archangel,deals,1885,121
Cronstadt,battens,1899,121
Gothenburg,battens,1897,121
Montreal,deals,1891,121
Riga,battens,1891,121
Sundswall,firewood,1887,121
Baltimore,staves,1889,120
Gothenburg,laths,1893,120
Riga,lathwood,1893,120
Fredrikstad,boards,1885,119
Gefle,deals,1889,119
Archangel,deals,1893,118
Fredrikstad,boards,1895,118
Archangel,deals,1889,117
Archangel,deals,1899,117
Gefle,battens,1881,117
Gefle,deals,1893,117
Sundswall,battens,1887,117
Sundswall,battens,1893,117
Archangel,deals,1883,116
Boston,lumber,1897,116
Christiania,boards,1885,116
Cronstadt,lathwood,1874,116
New Orleans,staves,1889,116
Riga,deals,1875,116
Riga,sleepers,1891,116
Quebec City,deals,1893,115
Quebec City,staves,1881,115
Riga,sleepers,1895,115
Bayonne,pitwood,1897,114
Danzig,sleepers,1883,114
Gefle,deals,1885,114
Gothenburg,boards,1893,113
Gothenburg,boards,1889,112
Miramichi,deals,1889,112
Quebec City,deal ends,1874,112
Riga,pit props,1887,112
Soderhamn,deals,1883,112
Bordeaux,pit props,1881,110
Drammen,boards,1889,110
Gefle,deals,1895,110
Gothenburg,sleepers,1891,110
New York,lumber,1885,110
Boston,staves,1881,109
Drammen,battens,1881,109
Quebec City,timber,1874,109
Fredrikstad,boards,1881,108
Fredrikstad,boards,1897,108
Klaipeda,deals,1883,108
New York,lumber,1895,108
Rotterdam,hoops,1893,108
Riga,lathwood,1897,107
Soderhamn,deals,1879,107
St. John,deals,1897,107
Gefle,deals,1899,106
Gothenburg,sleepers,1883,106
Bayonne,pitwood,1895,105
Fredrikstad,boards,1883,105
Gothenburg,deals,1891,105
Soderhamn,deals,1885,105
Sundswall,firewood,1885,105
Drammen,boards,1883,104
Gefle,battens,1883,104
Gothenburg,pit props,1879,104
New Orleans,staves,1885,104
New Orleans,staves,1887,104
Danzig,sleepers,1881,103
Danzig,sleepers,1889,103
Hamburg,mouldings,1891,103
Riga,ends,1887,103
Riga,sleepers,1875,103
Gothenburg,boards,1887,102
Gothenburg,sleepers,1897,102
Quebec City,deal ends,1881,102
Boston,staves,1897,101
Christiania,boards,1899,101
Christiania,pit props,1891,101
Fredrikstad,boards,1887,101
Klaipeda,staves,1889,101
New York,spokes,1885,101
Christiania,pit props,1885,100
Christiania,pit props,1887,100
Gefle,deals,1891,100
Gothenburg,sleepers,1893,100
St. John,deals,1887,100
Sundswall,battens,1895,100
Boston,staves,1891,99
Klaipeda,staves,1881,99
Quebec City,deals,1895,99
Drammen,boards,1881,98
Gothenburg,poles,1889,98
Gothenburg,sleepers,1895,98
Halmstad,pit props,1897,98
Montreal,boards,1895,98
New York,lumber,1883,98
Riga,ends,1885,98
Riga,lathwood,1874,98
Baltimore,staves,1887,97
Porsgrund,pit props,1883,97
Riga,sleepers,1893,97
St. John,deals,1893,97
Sundswall,deals,1887,97
Sundswall,firewood,1883,97
Archangel,deals,1897,96
Christiania,boards,1889,96
Klaipeda,staves,1887,96
New Orleans,staves,1883,96
Redon,pitwood,1883,96
Montreal,ends,1897,95
Pensacola,timber,1881,95
Sundswall,deals,1893,95
Cronstadt,deals,1891,94
Falkenberg,pit props,1889,94
Gothenburg,deals,1893,94
New York,spokes,1887,94
Gothenburg,sleepers,1887,93
Sundswall,deals,1891,93
Cronstadt,deals,1877,92
Cronstadt,deals,1897,92
Gothenburg,wood,1887,92
Halmstad,pit props,1885,92
Klaipeda,deals,1889,92
Oscarshamn,pit props,1885,92
Pensacola,deals,1885,92
Cronstadt,battens,1891,91
Danzig,sleepers,1899,91
Gefle,deals,1875,91
Halmstad,pit props,1889,91
New York,handles,1889,91
Porsgrund,pit props,1881,91
Quebec City,timber,1877,91
Riga,boards,1899,91
Soderhamn,deals,1881,90
Cronstadt,rickers,1883,89
Drammen,battens,1875,89
Falkenberg,pit props,1885,89
Gefle,deals,1877,89
Rotterdam,wood,1881,89
St. John,deals,1874,89
St. John,deals,1879,89
St. Petersburg,lathwood,1887,89
St. Petersburg,rickers,1887,89
Gefle,battens,1895,88
Halmstad,pit props,1883,88
Danzig,staves,1885,87
Gefle,battens,1889,87
Gefle,deals,1874,87
Klaipeda,deals,1881,87
Quebec City,deal ends,1889,87
St. John,deals,1895,87
Christiansand,pit props,1881,86
Danzig,timber,1879,86
New Orleans,staves,1899,86
New York,logs,1883,86
New York,wood,1891,86
New York,wood,1897,86
Porsgrund,pit props,1889,86
Sundswall,boards,1889,86
Bayonne,pitwood,1887,85
Klaipeda,deals,1874,85
Montreal,boards,1893,85
Montreal,deals,1881,85
New Orleans,staves,1891,85
Pensacola,deals,1887,85
Riga,battens,1887,85
Riga,boards,1887,85
Riga,boards,1895,85
Gefle,battens,1893,84
New York,wood,1889,84
Philadelphia,staves,1885,84
Riga,lathwood,1879,84
Baltimore,lumber,1899,83
Bayonne,pitwood,1899,83
Falkenberg,pit props,1883,83
Pensacola,deals,1891,83
Cronstadt,battens,1897,82
Halmstad,pit props,1881,82
Klaipeda,staves,1874,82
Klaipeda,staves,1879,82
New York,handles,1885,82
Riga,battens,1885,82
St. John,deal ends,1883,82
Sundswall,deals,1895,82
Bayonne,pitwood,1893,81
Drammen,battens,1874,81
Fredrikstad,boards,1893,81
Gefle,boards,1895,81
Arendal,pit props,1883,80
Baltimore,logs,1891,80
Baltimore,lumber,1889,80
Christiansand,pit props,1883,80
Cronstadt,firewood,1885,80
Drammen,boards,1891,80
Gothenburg,pit props,1875,80
New Orleans,lumber,1899,80
Oscarshamn,pit props,1883,80
Quebec City,timber,1881,80
Riga,ends,1881,80
Riga,lathwood,1877,80
St. John,deals,1891,80
Danzig,timber,1881,79
Drammen,boards,1885,79
Oscarshamn,pit props,1893,79
Sundswall,battens,1899,79
Fredrikstad,flooring,1899,78
Gefle,deals,1897,78
Miramichi,deals,1885,78
Riga,ends,1889,78
Riga,ends,1899,78
Cronstadt,lathwood,1875,77
Danzig,timber,1874,77
Falkenberg,pit props,1881,77
Gefle,boards,1893,77
New York,shooks,1883,77
Pensacola,timber,1883,77
Porsgrund,pit props,1899,77
Quebec City,deal ends,1885,77
Quebec City,deals,1899,77
Quebec City,ends,1883,77
Quebec City,ends,1885,77
Redon,pitwood,1881,77
Riga,sleepers,1897,77
Sundswall,battens,1897,77
Archangel,deals,1891,76
Baltimore,lumber,1891,76
Bayonne,pitwood,1891,76
Gothenburg,boards,1881,76
Gothenburg,sleepers,1885,76
Pensacola,timber,1889,76
Quebec City,staves,1885,76
St. John,deals,1875,76
Baltimore,lumber,1887,75
Gefle,battens,1899,75
Porsgrund,pit props,1891,75
Quebec City,ends,1877,75
Riga,timber,1877,75
Sundswall,battens,1877,75
Christiania,boards,1895,74
Danzig,sleepers,1885,74
Gefle,deals,1887,74
Halden,pit props,1885,74
Klaipeda,deals,1885,74
Laurvig,pit props,1889,74
New York,wood,1887,74
Riga,lathwood,1875,74
Soderhamn,battens,1883,74
Soderhamn,deals,1887,74
St. John,deals,1899,74
St. Petersburg,lathwood,1889,74
Falkenberg,pit props,1891,73
St. Petersburg,rickers,1895,73
Sundswall,boards,1885,73
Sundswall,firewood,1881,73
Drammen,battens,1877,72
Gefle,battens,1879,72
Gefle,boards,1889,72
Gefle,boards,1899,72
Klaipeda,staves,1885,72
Quebec City,deals,1897,72
Riga,ends,1895,72
Baltimore,logs,1899,71
Baltimore,staves,1885,71
Drammen,pit props,1881,71
Hernosand,battens,1889,71
Klaipeda,deals,1875,71
Laurvig,pit props,1883,71
Porsgrund,pit props,1885,71
Baltimore,logs,1893,70
Bjorneborg,battens,1883,70
Cronstadt,boards,1889,70
Danzig,staves,1883,70
Drammen,boards,1887,70
Drammen,pit props,1889,70
Gothenburg,wood,1889,70
Montreal,ends,1895,70
Riga,ends,1877,70
Riga,firewood,1889,70
Skien,pit props,1889,70
St. John,ends,1889,70
St. John,scantlings,1881,70
Archangel,battens,1899,69
Archangel,ends,1885,69
Christiania,boards,1881,69
Gefle,battens,1891,69
New Orleans,staves,1897,69
Riga,ends,1883,69
Sundswall,boards,1883,69
Bayonne,pit props,1881,68
Bjorneborg,deals,1883,68
Halden,pit props,1887,68
Klaipeda,staves,1891,68
New York,spokes,1889,68
Oscarshamn,pit props,1881,68
Quebec City,timber,1875,68
Sundswall,boards,1899,68
Miramichi,deals,1879,67
Quebec City,ends,1881,67
Riga,pit props,1893,67
Skutskar,deals,1895,67
St. Petersburg,deals,1889,67
St. Petersburg,rickers,1889,67
Stettin,pit props,1889,67
Stettin,pit props,1895,67
Baltimore,planks,1889,66
Christiania,boards,1883,66
Cronstadt,firewood,1889,66
Darien,deals,1881,66
Gothenburg,mouldings,1883,66
Laurvig,pit props,1881,66
Oscarshamn,pit props,1889,66
Quebec City,staves,1875,66
Quebec City,timber,1883,66
Sundswall,deals,1874,66
Sundswall,firewood,1891,66
Wyborg,deals,1877,66
Archangel,battens,1895,65
Archangel,boards,1895,65
Baltimore,logs,1895,65
Fredrikstad,flooring,1889,65
Halden,pit props,1889,65
Klaipeda,timber,1874,65
New Orleans,staves,1895,65
Oscarshamn,pit props,1887,65
Oscarshamn,pit props,1891,65
Soderhamn,deals,1874,65
St. John,deal ends,1881,65
Sundswall,firewood,1893,65
Baltimore,planks,1887,64
Cronstadt,firewood,1887,64
Gefle,boards,1883,64
Gothenburg,deals,1875,64
Gothenburg,doors,1883,64
Gothenburg,wood,1899,64
Hernosand,pit props,1895,64
Klaipeda,timber,1875,64
Klaipeda,timber,1883,64
New York,oars,1883,64
Pensacola,deals,1877,64
Quebec City,ends,1875,64
Riga,pit props,1891,64
Risoer,pit props,1889,64
Rotterdam,staves,1897,64
Sundswall,deals,1877,64
Sundswall,deals,1897,64
Boston,lumber,1895,63
Christiania,boards,1891,63
Danzig,timber,1875,63
Drammen,battens,1883,63
Drammen,pit props,1887,63
Gefle,boards,1881,63
Gefle,boards,1891,63
Gothenburg,mouldings,1885,63
Gothenburg,wood,1891,63
Klaipeda,sleepers,1883,63
Kragero,pit props,1887,63
Miramichi,deals,1899,63
Montreal,lumber,1899,63
Soderhamn,deals,1895,63
Sundswall,boards,1895,63
Boston,doors,1899,62
Danzig,staves,1881,62
Danzig,timber,1889,62
Gothenburg,deals,1879,62
Gothenburg,doors,1885,62
Halmstad,pit props,1887,62
Miramichi,deals,1887,62
Porsgrund,pit props,1897,62
Rotterdam,hoops,1895,62
Soderhamn,battens,1885,62
St. John,battens,1889,62
St. John,deals,1877,62
Archangel,deals,1874,61
Christiania,spars,1889,61
Christiansand,pit props,1885,61
Cronstadt,rickers,1885,61
Gothenburg,boxboards,1899,61
Quebec City,ends,1887,61
Wyborg,deals,1874,61
Archangel,boards,1899,60
Arendal,pit props,1891,60
Cronstadt,ends,1885,60
Gefle,battens,1885,60
Gothenburg,poles,1883,60
Gothenburg,poles,1899,60
Kragero,pit props,1889,60
Oscarshamn,pit props,1895,60
Pensacola,deals,1893,60
Riga,boards,1897,60
St. John,battens,1885,60
Sundswall,deals,1879,60
Sundswall,deals,1899,60
Christiania,pit props,1875,59
Christiania,spars,1883,59
Cronstadt,boards,1887,59
Drammen,pit props,1885,59
Konigsberg,sleepers,1889,59
Montreal,boards,1889,59
Montreal,ends,1893,59
Philadelphia,staves,1889,59
Soderhamn,deals,1889,59
Sundswall,boards,1891,59
Sundswall,firewood,1895,59
Archangel,boards,1885,58
Baltimore,planks,1891,58
Bayonne,pitwood,1889,58
Bjorneborg,battens,1881,58
Christiansand,pit props,1887,58
Cronstadt,ends,1889,58
Danzig,sleepers,1887,58
Danzig,sleepers,1897,58
Danzig,timber,1883,58
Fredrikstad,flooring,1897,58
Gefle,battens,1897,58
Gothenburg,doors,1889,58
Halden,pit props,1891,58
Hernosand,battens,1899,58
Quebec City,squares,1883,58
Riga,boards,1889,58
Riga,ends,1891,58
Sundswall,boards,1893,58
Christiania,boxboards,1897,57
Cronstadt,lathwood,1889,57
Danzig,sleepers,1893,57
Danzig,staves,1887,57
Drammen,boards,1899,57
Gothenburg,battens,1875,57
Halifax,deals,1889,57
Hernosand,battens,1893,57
Klaipeda,timber,1881,57
New Orleans,staves,1893,57
Stettin,pit props,1885,57
Uleaborg,deals,1879,57
Uleaborg,deals,1881,57
Baltimore,lumber,1897,56
Danzig,sleepers,1895,56
Fredrikstad,firewood,1895,56
Gefle,battens,1877,56
Gothenburg,boxboards,1895,56
Gothenburg,firewood,1887,56
Gothenburg,pit props,1874,56
Hennebont,pit props,1881,56
Klaipeda,timber,1879,56
New York,lumber,1881,56
Quebec City,ends,1889,56
Riga,pit props,1889,56
Riga,pit props,1899,56
Soderhamn,deals,1899,56
Christiania,boxboards,1899,55
Danzig,sleepers,1879,55
Gothenburg,poles,1885,55
Gothenburg,wood,1885,55
Hennebont,pitwood,1883,55
Klaipeda,deals,1879,55
Klaipeda,sleepers,1885,55
Konigsberg,sleepers,1883,55
Montreal,boards,1885,55
Pauillac,pitwood,1899,55
Pensacola,timber,1885,55
Porsgrund,poles,1883,55
Riga,ends,1879,55
St. John,battens,1887,55
St. John,scantlings,1883,55
Stettin,pit props,1891,55
Sundswall,battens,1874,55
Arendal,pit props,1889,54
Baltimore,boards,1899,54
Bayonne,pitwood,1883,54
Christiania,boards,1897,54
Christiania,pit props,1893,54
Christiania,pit props,1899,54
Christiania,spars,1881,54
Christiania,spars,1887,54
Danzig,sleepers,1891,54
Hernosand,battens,1885,54
Holmestrand,pit props,1883,54
Klaipeda,sleepers,1897,54
Montreal,deal ends,1895,54
Quebec City,deal ends,1877,54
St. John,ends,1893,54
St. John,scantlings,1889,54
Bordeaux,pit props,1885,53
Christiania,poles,1897,53
Christiansand,pit props,1877,53
Cronstadt,firewood,1893,53
Gefle,boards,1897,53
Gothenburg,doors,1887,53
Gothenburg,doors,1895,53
Klaipeda,staves,1895,53
Kragero,pit props,1885,53
Laurvig,pit props,1879,53
New York,headings,1887,53
St. John,ends,1881,53
Sundswall,boards,1887,53
Wyborg,deals,1883,53
Baltimore,staves,1899,52
Cronstadt,boards,1885,52
Cronstadt,ends,1883,52
Cronstadt,rickers,1881,52
Drammen,pit props,1891,52
Falkenberg,pit props,1895,52
Gefle,boards,1877,52
Hernosand,battens,1897,52
Kalmar,pit props,1887,52
Klaipeda,sleepers,1891,52
Klaipeda,staves,1875,52
Montreal,deal ends,1893,52
New Orleans,staves,1881,52
New York,oars,1889,52
New York,wood,1895,52
Soderhamn,deals,1875,52
St. John,scantlings,1885,52
Archangel,ends,1895,51
Arendal,pit props,1887,51
Baltimore,logs,1889,51
Bjorneborg,deals,1879,51
Bjorneborg,deals,1881,51
Gefle,battens,1874,51
Gefle,boards,1885,51
Hamburg,pit props,1897,51
Miramichi,deals,1877,51
Miramichi,deals,1893,51
Oscarshamn,pit props,1899,51
Pensacola,timber,1874,51
Philadelphia,staves,1899,51
Riga,pit props,1897,51
Risoer,pit props,1887,51
St. John,battens,1883,51
Archangel,boards,1897,50
Brevig,pit props,1881,50
Christiania,timber,1899,50
Cronstadt,ends,1887,50
Cronstadt,rickers,1874,50
Gothenburg,poles,1891,50
Halden,pit props,1893,50
Hernosand,battens,1883,50
Kragero,pit props,1881,50
Laurvig,pit props,1887,50
Liepāja,staves,1899,50
Pensacola,deals,1874,50
Riga,battens,1883,50
Bjorneborg,deals,1885,49
Cronstadt,boards,1895,49
Cronstadt,boards,1899,49
Cronstadt,lathwood,1887,49
Danzig,sleepers,1874,49
Danzig,sleepers,1877,49
Drammen,boards,1879,49
Fredrikstad,battens,1881,49
Gothenburg,doors,1897,49
Gothenburg,laths,1879,49
Gothenburg,oars,1883,49
Halden,pit props,1883,49
Oscarshamn,pit props,1897,49
Pensacola,deals,1895,49
Pensacola,timber,1877,49
Redon,pitwood,1887,49
Sundswall,deals,1875,49
Sundswall,timber,1874,49
Wyborg,deals,1875,49
Baltimore,lumber,1893,48
Baltimore,staves,1883,48
Christiania,battens,1881,48
Christiania,boards,1893,48
Christiansand,pit props,1889,48
Gothenburg,oars,1887,48
Gothenburg,poles,1897,48
Gothenburg,splits,1899,48
Halifax,deals,1887,48
Klaipeda,staves,1877,48
Miramichi,deals,1895,48
Philadelphia,staves,1883,48
Quebec City,deal ends,1875,48
Soderhamn,battens,1881,48
St. John,ends,1883,48
St. Petersburg,rickers,1891,48
Stettin,pit props,1883,48
Stockholm,deals,1883,48
Sundswall,battens,1875,48
Trondheim,battens,1885,48
Baltimore,logs,1887,47
Baltimore,planks,1893,47
Cronstadt,firewood,1899,47
Danzig,lathwood,1874,47
Drammen,boards,1893,47
Hernosand,deals,1889,47
Holmestrand,pit props,1889,47
Klaipeda,sleepers,1899,47
Miramichi,deal ends,1883,47
Mobile,deals,1885,47
New York,doors,1881,47
Pensacola,timber,1887,47
Porsgrund,pit props,1887,47
Riga,boards,1893,47
Skutskar,battens,1895,47
Soderhamn,battens,1889,47
Soderhamn,battens,1895,47
Soderhamn,boards,1883,47
St. John,battens,1893,47
St. Petersburg,firewood,1889,47
Wyborg,battens,1883,47
Archangel,battens,1897,46
Arendal,mining timber,1891,46
Arendal,pit props,1899,46
Baltimore,planks,1895,46
Baltimore,planks,1899,46
Christiania,battens,1883,46
Christiania,pit props,1879,46
Cronstadt,ends,1881,46
Dordrecht,hoops,1887,46
Gothenburg,doors,1893,46
Gothenburg,mouldings,1887,46
Gothenburg,mouldings,1895,46
Gothenburg,sleepers,1881,46
Gothenburg,wood,1897,46
Hernosand,deals,1893,46
Hernosand,firewood,1895,46
Kalmar,pit props,1893,46
Klaipeda,sleepers,1887,46
Miramichi,ends,1883,46
Miramichi,ends,1889,46
Montreal,deal ends,1897,46
New York,oars,1887,46
Pensacola,timber,1891,46
Porsgrund,pit props,1893,46
Quebec City,lathwood,1874,46
Riga,ends,1893,46
Riga,firewood,1887,46
Riga,timber,1881,46
Soderhamn,boards,1885,46
St. John,ends,1885,46
St. Petersburg,deals,1887,46
Sundswall,firewood,1899,46
Archangel,battens,1893,45
Archangel,ends,1883,45
Baltimore,planks,1885,45
Bergkvara,pit props,1895,45
Christiania,poles,1895,45
Cronstadt,firewood,1895,45
Danzig,timber,1877,45
Fredrikstad,flooring,1895,45
Fredrikstad,staves,1883,45
Gothenburg,rails,1895,45
Halifax,deals,1883,45
Halifax,deals,1893,45
Halifax,deals,1899,45
Klaipeda,deals,1887,45
Klaipeda,deals,1891,45
Montreal,boards,1891,45
Narva,battens,1889,45
New York,headings,1889,45
Oscarshamn,pit props,1877,45
Pensacola,deals,1875,45
Philadelphia,staves,1897,45
Riga,timber,1874,45
St. John,deal ends,1885,45
St. John,palings,1874,45
Stettin,pit props,1887,45
Stettin,timber,1889,45
Trieste,staves,1885,45
Uleaborg,deals,1885,45
Wyborg,battens,1877,45
Wyborg,deals,1885,45
Archangel,ends,1887,44
Arendal,mining timber,1883,44
Arendal,pit props,1885,44
Bergkvara,pit props,1899,44
Bjorneborg,deals,1874,44
Boston,doors,1897,44
Brevig,pit props,1883,44
Brevig,pit props,1889,44
Christiania,mining timber,1895,44
Cronstadt,firewood,1883,44
Gothenburg,firewood,1895,44
Halifax,deals,1897,44
Hernosand,battens,1895,44
Hernosand,deals,1897,44
Hernosand,pit props,1899,44
Klaipeda,staves,1899,44
Klaipeda,timber,1885,44
Konigsberg,pit props,1893,44
Konigsberg,sleepers,1879,44
Kragero,pit props,1883,44
Laurvig,pit props,1885,44
Montreal,lumber,1897,44
New York,doors,1883,44
Quebec City,staves,1887,44
Rafso,battens,1899,44
Rafso,deals,1899,44
Redon,pitwood,1885,44
Riga,ends,1897,44
Skien,pit props,1891,44
Soderhamn,deals,1893,44
St. John,deal ends,1889,44
St. John,ends,1897,44
Stettin,pit props,1899,44
Sundswall,boards,1881,44
Archangel,boards,1893,43
Archangel,deals,1875,43
Arendal,pit props,1895,43
Auray,pitwood,1883,43
Baie Verte,deals,1889,43
Baltimore,logs,1897,43
Boston,shooks,1883,43
Christiania,pit props,1874,43
Cronstadt,ends,1899,43
Danzig,sleepers,1875,43
Falkenberg,pit props,1887,43
Gefle,firewood,1889,43
Gothenburg,battens,1874,43
Gothenburg,mining timber,1889,43
Gothenburg,oars,1885,43
Gothenburg,oars,1889,43
Klaipeda,staves,1893,43
Kotka,deals,1885,43
Liepāja,sleepers,1899,43
Philadelphia,staves,1887,43
Risoer,pit props,1899,43
Soderhamn,battens,1887,43
Soderhamn,boards,1895,43
Stockholm,pit props,1887,43
Sundswall,boards,1897,43
Bayonne,pitwood,1885,42
Christiania,staves,1887,42
Christiansand,pit props,1891,42
Danzig,staves,1889,42
Danzig,timber,1885,42
Drammen,staves,1889,42
Fredrikstad,flooring,1891,42
Fredrikstad,staves,1881,42
Gothenburg,battens,1877,42
Gothenburg,battens,1879,42
Gothenburg,doors,1881,42
Gothenburg,woodware,1887,42
Hernosand,deals,1899,42
Hernosand,firewood,1889,42
Pensacola,timber,1875,42
Porsgrund,poles,1885,42
Quebec City,ends,1895,42
Quebec City,lathwood,1881,42
Riga,battens,1881,42
Riga,timber,1889,42
Skutskar,deals,1889,42
St. John,boards,1881,42
St. John,scantlings,1887,42
Stettin,pit props,1897,42
Trieste,staves,1887,42
Wyborg,boards,1883,42
Bayonne,pit props,1885,41
Christiania,mining timber,1889,41
Gefle,battens,1875,41
Gothenburg,mouldings,1881,41
Gothenburg,mouldings,1899,41
Gothenburg,oars,1881,41
Gothenburg,staves,1885,41
Hamburg,pit props,1899,41
Hennebont,pitwood,1885,41
Klaipeda,deals,1893,41
New York,boards,1887,41
New York,hoops,1889,41
Philadelphia,staves,1891,41
Quebec City,deal ends,1891,41
Riga,deal ends,1881,41
Riga,squares,1881,41
Rotterdam,wood,1897,41
Skutskar,boards,1895,41
Soderhamn,battens,1897,41
St. John,boards,1883,41
St. Petersburg,rickers,1893,41
Stockholm,deals,1881,41
Trondheim,battens,1891,41
Wyborg,deals,1881,41
