destination,commodity_form,year,shipments
Hartlepool (West),pit props,1887,269
Hartlepool (West),pit props,1891,269
London,firewood,1883,269
Liverpool,deals,1893,268
London,deals,1893,267
Borrowstounness,pit props,1881,266
Hull,deals,1889,262
Liverpool,deals,1874,261
Swansea,pitwood,1889,261
Tyne Ports,pit props,1899,261
Hull,pit props,1899,260
Newcastle upon Tyne,pit props,1877,253
Borrowstounness,pit props,1885,252
Cardiff,pitwood,1887,252
Hartlepool (West),deals,1874,250
London,boards,1895,248
London,battens,1887,246
London,boards,1883,243
Liverpool,deals,1875,242
Liverpool,lumber,1897,242
Tyne Ports,pit props,1887,242
Liverpool,deals,1895,241
Hull,deals,1893,239
Liverpool,boards,1897,239
Liverpool,deals,1879,238
London,boards,1891,236
Hartlepool (West),pit props,1893,235
London,staves,1887,235
London,staves,1889,235
Newport,pitwood,1889,235
Hartlepool (West),pit props,1881,232
Tyne Ports,pit props,1893,230
London,battens,1899,229
London,staves,1881,229
Hull,deals,1897,226
Tyne Ports,deals,1883,223
Hull,deals,1875,222
London,firewood,1891,222
London,firewood,1895,222
London,battens,1895,221
London,battens,1874,220
London,battens,1881,220
Hull,pit props,1897,219
Sunderland,pit props,1883,218
Alloa,pit props,1895,215
Newport,pitwood,1887,213
Hull,boards,1895,211
Tyne Ports,pit props,1885,210
Alloa,pit props,1885,208
Borrowstounness,pit props,1887,208
Hartlepool (West),deals,1877,208
Liverpool,timber,1881,207
Sunderland,pit props,1887,205
Borrowstounness,pit props,1889,204
Hartlepool (West),pit props,1885,203
Hull,battens,1899,203
Swansea,pitwood,1887,200
Grimsby,deals,1877,196
Hull,boards,1899,196
Glasgow,staves,1887,195
Hartlepool (West),deals,1883,195
London,firewood,1897,194
Hull,pit props,1885,192
Liverpool,boards,1895,190
Newcastle upon Tyne,deals,1877,190
Liverpool,boards,1889,188
Liverpool,deals,1891,188
Hartlepool (West),pit props,1877,186
Sunderland,pit props,1881,186
Alloa,pit props,1893,185
Alloa,pit props,1899,185
Grangemouth,deals,1889,184
London,boards,1893,184
Swansea,pitwood,1883,183
London,deals,1875,182
Grimsby,deals,1881,180
Hartlepool (West),pit props,1899,180
Liverpool,timber,1877,180
London,lumber,1899,180
Tyne Ports,battens,1883,180
Liverpool,boards,1893,178
London,battens,1891,178
London,staves,1874,177
London,battens,1893,176
Liverpool,boards,1885,175
London,boards,1897,175
Grangemouth,battens,1889,173
Hartlepool (West),deals,1879,173
Hull,deals,1891,173
London,firewood,1899,173
Tyne Ports,battens,1899,173
Tyne Ports,deals,1899,173
Hartlepool (West),deals,1897,172
London,battens,1897,172
Hartlepool (West),boards,1874,171
Hull,pit props,1883,171
London,wood,1899,171
Sunderland,pit props,1885,171
Tyne Ports,pit props,1895,170
Glasgow,staves,1883,168
Grangemouth,deals,1887,167
Hartlepool (West),deals,1881,166
Leith,battens,1889,166
Alloa,pit props,1897,165
Liverpool,boards,1891,165
London,boards,1881,165
Grimsby,deals,1879,164
Hartlepool (West),deals,1885,164
Tyne Ports,pit props,1891,164
Glasgow,staves,1885,163
Hartlepool (West),battens,1874,162
Grangemouth,battens,1891,161
Leith,deals,1889,161
Liverpool,timber,1874,160
Tyne Ports,deals,1889,160
Liverpool,planks,1899,159
Glasgow,staves,1889,157
Hull,pit props,1893,157
Tyne Ports,pit props,1897,157
Grangemouth,battens,1877,156
Alloa,pit props,1883,154
Hartlepool,pit props,1899,154
Hull,battens,1881,154
Hull,battens,1895,154
Hartlepool (West),battens,1883,153
Hartlepool (West),pit props,1879,153
Liverpool,boards,1887,153
Borrowstounness,pit props,1877,152
Grangemouth,battens,1893,151
Hull,boards,1897,151
Grangemouth,deals,1891,150
London,wood,1891,150
Grangemouth,battens,1883,148
London,staves,1899,148
Liverpool,battens,1885,147
Liverpool,boards,1881,147
Liverpool,boards,1883,147
Alloa,pit props,1887,146
Grangemouth,battens,1895,146
Newport,pitwood,1895,146
Sunderland,pit props,1893,146
Hartlepool (West),deals,1889,145
Tyne Ports,battens,1885,143
Grimsby,deals,1889,142
London,firewood,1881,141
Liverpool,logs,1899,140
London,wood,1887,140
Newcastle upon Tyne,battens,1877,140
Leith,battens,1883,139
London,staves,1891,139
Hartlepool (West),battens,1875,138
Liverpool,ends,1877,138
Liverpool,ends,1899,138
London,mouldings,1899,138
Newport,pitwood,1885,138
Glasgow,staves,1891,137
Grangemouth,battens,1899,137
London,ends,1885,137
Swansea,pitwood,1881,137
Grangemouth,battens,1887,136
Grangemouth,deals,1893,136
London,battens,1879,136
London,lathwood,1883,136
Grangemouth,battens,1885,135
Hartlepool (West),battens,1889,135
Tyne Ports,deals,1887,135
Hull,battens,1883,134
Grangemouth,deals,1883,132
Hartlepool (West),boards,1875,132
Liverpool,logs,1895,132
Liverpool,timber,1883,132
London,firewood,1879,132
Tyne Ports,deals,1885,132
Tyne Ports,deals,1893,132
Hartlepool (West),boards,1883,131
London,timber,1883,131
Tyne Ports,battens,1889,131
Tyne Ports,boards,1883,131
Tyne Ports,staves,1883,131
Grimsby,deals,1899,130
Hull,battens,1897,130
London,deal ends,1883,130
Tyne Ports,battens,1887,130
London,sleepers,1874,129
Hull,timber,1874,128
Grangemouth,deals,1885,127
Hull,boards,1893,127
Leith,battens,1885,127
Tyne Ports,battens,1893,127
Tyne Ports,boards,1899,127
Hull,battens,1885,126
Hull,boards,1891,126
Liverpool,scantlings,1899,126
Swansea,pitwood,1891,125
Glasgow,deals,1899,124
Hull,firewood,1895,124
Sunderland,pit props,1879,124
Bristol,deals,1879,123
Gloucester,deals,1885,123
Liverpool,logs,1897,123
Glasgow,staves,1897,122
Hull,boards,1887,122
Liverpool,battens,1889,122
London,doors,1899,122
London,firewood,1874,122
London,lathwood,1879,122
Alloa,pit props,1881,121
Borrowstounness,pit props,1899,121
London,lumber,1897,121
Hartlepool (West),boards,1877,120
Liverpool,battens,1899,120
London,wood,1897,120
Newcastle upon Tyne,staves,1877,120
Borrowstounness,pit props,1897,119
Hartlepool (West),deals,1895,119
Hull,boards,1885,119
Leith,deals,1883,119
London,ends,1883,119
London,sleepers,1883,119
Grangemouth,battens,1874,118
Grangemouth,deals,1874,118
Hull,pit props,1881,117
Newport,pitwood,1897,117
Sunderland,pit props,1891,117
Borrowstounness,pit props,1891,115
MANCHESTER,boards,1899,115
Tyne Ports,hoops,1883,115
Glasgow,staves,1899,114
Gloucester,deals,1879,114
Gloucester,deals,1883,114
Grimsby,battens,1899,114
Liverpool,lumber,1891,114
Glasgow,staves,1893,113
Hartlepool (West),battens,1897,113
Hartlepool (West),boards,1897,113
Liverpool,deal ends,1883,113
Liverpool,deal ends,1889,113
Liverpool,lumber,1889,113
London,sleepers,1879,113
London,staves,1879,113
Hull,firewood,1889,112
Hull,lathwood,1874,112
Liverpool,timber,1899,112
London,ends,1887,112
Swansea,pitwood,1895,112
Swansea,pitwood,1899,112
Borrowstounness,pitwood,1889,111
Leith,deals,1899,111
Liverpool,ends,1887,111
Liverpool,palings,1877,111
London,firewood,1893,111
London,timber,1874,111
Swansea,pit props,1881,111
Grangemouth,battens,1875,110
Hartlepool (West),timber,1889,110
Liverpool,deal ends,1887,110
Tyne Ports,deals,1881,110
Borrowstounness,pit props,1895,109
Liverpool,battens,1887,109
Newport,pitwood,1899,109
Gloucester,deals,1881,108
Gloucester,deals,1889,108
Liverpool,logs,1891,108
Liverpool,scantlings,1897,108
Liverpool,staves,1877,108
London,logs,1891,108
London,sleepers,1899,108
Newport,pitwood,1891,108
