destination,commodity_form,year,shipments
MANCHESTER,logs,1899,19
MONTREAL,deals,1893,19
Middlesbrough,battens,1897,19
NEWHAVEN,deals,1893,19
Newport,battens,1889,19
Newport,ends,1895,19
Newport,mining timber,1889,19
Newport,pitwood,1898,19
Peterhead,staves,1893,19
Poole,deals,1895,19
Poole,deals,1899,19
Portsmouth,battens,1887,19
Portsmouth,boards,1899,19
Portsmouth,deals,1891,19
Shoreham,battens,1881,19
Sunderland,battens,1897,19
Sunderland,ends,1893,19
Sunderland,lumber,1897,19
Sunderland,pitwood,1895,19
Sunderland,sleepers,1899,19
Sunderland,spars,1881,19
Swansea,deals,1887,19
Tyne Ports,firewood,1889,19
Tyne Ports,wood pulp,1895,19
WISBECH,boards,1885,19
Aberdeen,boards,1895,18
Alloa,pitwood,1897,18
Alloa,staves,1889,18
Barrow-in-Furness,boards,1897,18
Barrow-in-Furness,deals,1895,18
Belfast,ends,1887,18
Belfast,lathwood,1883,18
Belfast,staves,1899,18
Bo'ness,pit props,1899,18
Borrowstounness,pitwood,1885,18
Borrowstounness,sleepers,1875,18
Boston,pit props,1887,18
Bridgwater,deals,1895,18
Bristol,ends,1893,18
Bristol,firewood,1893,18
Bristol,lathwood,1875,18
Bristol,pitwood,1897,18
Bristol,pitwood,1899,18
Cardiff,boards,1883,18
Cardiff,boards,1893,18
Cardiff,timber,1877,18
Cardiff,wood,1893,18
Chester,pit props,1891,18
Dundee,firewood,1889,18
Dundee,firewood,1897,18
Dundee,timber,1875,18
FOWEY,staves,1899,18
Fraserburgh,staves,1887,18
Glasgow,battens,1883,18
Glasgow,deal ends,1877,18
Glasgow,scantlings,1899,18
Glasgow,wood,1885,18
Goole,battens,1887,18
Goole,battens,1895,18
Goole,battens,1897,18
Grangemouth,ends,1879,18
Granton,deals,1887,18
Grimsby,blocks,1891,18
Grimsby,blocks,1897,18
Grimsby,blocks,1899,18
Hartlepool (West),laths,1875,18
Hartlepool (West),poles,1893,18
Hull,laths,1879,18
Hull,lathwood,1895,18
Hull,sleepers,1889,18
Ipswich,deals,1899,18
King's Lynn,battens,1897,18
Kirkcaldy,battens,1883,18
Kirkcaldy,battens,1889,18
Kirkcaldy,pit props,1881,18
LOWESTOFT,firewood,1889,18
LOWESTOFT,sleepers,1899,18
Leith,battens,1879,18
Liverpool,doors,1885,18
Liverpool,firewood,1881,18
Liverpool,flooring,1889,18
Liverpool,poles,1881,18
Liverpool,spars,1893,18
Liverpool,squares,1883,18
Liverpool,squares,1889,18
Liverpool,squares,1891,18
Llanelli,pitwood,1895,18
London,flooring,1881,18
London,hoops,1881,18
London,oars,1899,18
London,planks,1881,18
London,poles,1895,18
London,rickers,1893,18
London,rickers,1899,18
London,staves,1884,18
London,wood,1892,18
London,woodware,1885,18
MANCHESTER,poles,1899,18
MANCHESTER,sleepers,1899,18
Middlesbrough,battens,1895,18
Middlesbrough,sleepers,1883,18
Middlesbrough,sleepers,1889,18
Montrose,boards,1887,18
Montrose,deals,1881,18
Montrose,firewood,1881,18
NEWHAVEN,boards,1891,18
NEWHAVEN,firewood,1893,18
Newport,ends,1889,18
Poole,boards,1881,18
Portsmouth,battens,1891,18
Portsmouth,battens,1899,18
Rochester,battens,1883,18
Rochester,staves,1891,18
Shoreham,boards,1899,18
Shoreham,firewood,1895,18
Sunderland,poles,1889,18
Sunderland,spars,1883,18
Sunderland,spars,1885,18
Sunderland,squares,1881,18
Sunderland,staves,1897,18
Swansea,battens,1893,18
Tyne Ports,crowntrees,1897,18
Tyne Ports,ends,1881,18
Tyne Ports,laths,1897,18
Tyne Ports,mouldings,1881,18
Tyne Ports,poles,1885,18
Tyne Ports,poles,1895,18
Tyne Ports,poles,1897,18
Tyne Ports,squares,1887,18
Waterford,deals,1883,18
Whitehaven,deals,1883,18
Yarmouth,firewood,1883,18
Yarmouth,firewood,1897,18
Aberdeen,boards,1897,17
Alloa,staves,1899,17
Ayr,battens,1885,17
BEAUMARIS,deals,1889,17
BLYTH,deals,1897,17
Barrow-in-Furness,boards,1891,17
Barrow-in-Furness,deals,1891,17
Barrow-in-Furness,palings,1877,17
Belfast,boards,1885,17
Bristol,boards,1879,17
Bristol,lumber,1891,17
Bristol,staves,1887,17
Cardiff,battens,1897,17
Cardiff,boards,1881,17
Cardiff,boards,1891,17
Cardiff,ends,1889,17
Cardiff,pit props,1891,17
Cardiff,pit props,1893,17
Cardiff,pitwood,1896,17
Cardiff,timber,1879,17
Charlestown,battens,1877,17
Colchester,deals,1883,17
Dublin,boards,1899,17
Dundalk,deals,1885,17
Dundee,firewood,1893,17
Dundee,firewood,1899,17
Dundee,lathwood,1889,17
FOWEY,staves,1897,17
Fleetwood,deals,1899,17
Glasgow,boards,1887,17
Glasgow,pit props,1881,17
Glasgow,planks,1895,17
Glasgow,squares,1897,17
Glasgow,staves,1877,17
Glasgow,staves,1884,17
Gloucester,ends,1895,17
Gloucester,ends,1899,17
Gloucester,firewood,1885,17
Goole,battens,1889,17
Grangemouth,lathwood,1875,17
Grangemouth,lathwood,1887,17
Granton,battens,1875,17
Granton,battens,1895,17
Granton,deals,1891,17
Granton,deals,1895,17
Granton,staves,1885,17
Greenock,deal ends,1891,17
Greenock,squares,1887,17
Grimsby,staves,1889,17
Hartlepool (West),poles,1887,17
Hartlepool (West),squares,1897,17
Hartlepool (West),staves,1887,17
Hartlepool (West),staves,1893,17
Hull,bobbins,1897,17
Hull,ends,1879,17
Hull,rickers,1891,17
Hull,rickers,1893,17
Inverkeithing,pit props,1877,17
Inverness,battens,1885,17
Ipswich,deals,1885,17
Ipswich,deals,1895,17
King's Lynn,battens,1891,17
King's Lynn,boards,1897,17
King's Lynn,deals,1897,17
Kirkcaldy,battens,1891,17
LANCASTER,deals,1881,17
LITTLEHAMPTON,battens,1897,17
LITTLEHAMPTON,battens,1899,17
LOWESTOFT,deals,1889,17
LOWESTOFT,sleepers,1889,17
Liverpool,flooring,1895,17
Liverpool,oars,1881,17
Liverpool,oars,1885,17
Liverpool,sleepers,1887,17
Liverpool,sleepers,1893,17
Liverpool,spars,1877,17
Liverpool,staves,1896,17
Llanelli,pitwood,1883,17
Llanelli,pitwood,1885,17
London,battens,1898,17
London,boards,1884,17
London,handles,1885,17
London,pit props,1893,17
London,pit props,1899,17
London,poles,1885,17
London,poles,1891,17
London,spars,1887,17
London,staves,1900,17
London,trellis,1891,17
London,woodware,1889,17
MANCHESTER,scantlings,1895,17
Middlesbrough,boards,1897,17
NEWHAVEN,battens,1897,17
NEWHAVEN,boards,1893,17
NEWHAVEN,boards,1897,17
Newcastle upon Tyne,firewood,1877,17
Newcastle upon Tyne,poles,1877,17
Newport,boards,1891,17
Newport,boards,1895,17
Newport,deals,1893,17
Newport,pitwood,1890,17
Peterhead,battens,1897,17
Portsmouth,deals,1899,17
Shoreham,boards,1895,17
Shoreham,firewood,1881,17
Shoreham,firewood,1889,17
Southampton,boards,1899,17
Southampton,deals,1881,17
Southampton,deals,1893,17
Southampton,timber,1879,17
Stockton,battens,1881,17
Sunderland,pitwood,1885,17
Sunderland,splits,1891,17
Tyne Ports,crowntrees,1881,17
Tyne Ports,doors,1897,17
Tyne Ports,ends,1893,17
Tyne Ports,firewood,1897,17
Tyne Ports,lumber,1897,17
Tyne Ports,poles,1887,17
Tyne Ports,splits,1895,17
Yarmouth,firewood,1885,17
Aberdeen,firewood,1887,16
Alloa,deals,1881,16
Ayr,deals,1891,16
Ayr,pit props,1895,16
BEAUMARIS,deals,1883,16
Barrow-in-Furness,battens,1885,16
Belfast,battens,1899,16
Belfast,boards,1893,16
Borrowstounness,battens,1887,16
Boston,deals,1895,16
Boston,sleepers,1889,16
Bridgwater,battens,1883,16
Bridgwater,battens,1895,16
Bridgwater,deals,1881,16
Bristol,deal ends,1881,16
Bristol,ends,1891,16
Bristol,lumber,1889,16
Bristol,spokes,1887,16
Bristol,staves,1874,16
Bristol,timber,1887,16
Bristol,wood,1891,16
Charlestown,pit props,1879,16
Cork,deals,1891,16
Cork,ends,1889,16
Dublin,boards,1887,16
Dublin,flooring,1885,16
Dundee,battens,1887,16
Dundee,firewood,1874,16
Dundee,lathwood,1881,16
FOWEY,staves,1893,16
Fleetwood,boards,1895,16
Fleetwood,ends,1893,16
Glasgow,battens,1881,16
Glasgow,boards,1885,16
Glasgow,deal ends,1885,16
Glasgow,planks,1881,16
Glasgow,wood pulp,1883,16
Gloucester,battens,1895,16
Gloucester,ends,1885,16
Gloucester,ends,1897,16
Gloucester,firewood,1887,16
Goole,deals,1893,16
Grangemouth,ends,1875,16
Grangemouth,firewood,1897,16
Grangemouth,lathwood,1889,16
Grangemouth,pit props,1887,16
Grangemouth,timber,1879,16
Granton,deals,1875,16
Granton,sleepers,1889,16
Granton,timber,1877,16
Greenock,timber,1891,16
Grimsby,timber,1879,16
Hartlepool (West),ends,1881,16
Hartlepool (West),firewood,1883,16
Hartlepool (West),laths,1885,16
Hartlepool (West),pit props,1898,16
Hartlepool (West),rails,1897,16
Hartlepool (West),staves,1897,16
Hull,boxboards,1897,16
Hull,doors,1899,16
Hull,logs,1893,16
Hull,lumber,1893,16
Hull,pit props,1890,16
Ipswich,battens,1891,16
King's Lynn,boards,1887,16
King's Lynn,firewood,1889,16
King's Lynn,pitwood,1887,16
King's Lynn,staves,1881,16
LITTLEHAMPTON,deals,1899,16
LITTLEHAMPTON,wood,1895,16
Leith,ends,1874,16
Leith,hoops,1895,16
Leith,lumber,1899,16
Leith,pit props,1893,16
Leith,staves,1877,16
Liverpool,doors,1887,16
Liverpool,firewood,1887,16
Liverpool,flooring,1893,16
Liverpool,logs,1877,16
Liverpool,palings,1885,16
Liverpool,splints,1889,16
Liverpool,staves,1879,16
Liverpool,staves,1880,16
London,boards,1898,16
London,deal ends,1899,16
London,joinery,1899,16
London,oars,1875,16
London,pit props,1895,16
MANCHESTER,boxboards,1899,16
Middlesbrough,deals,1891,16
Middlesbrough,squares,1881,16
Middlesbrough,wood,1897,16
Montrose,deals,1883,16
Montrose,firewood,1889,16
NEWHAVEN,battens,1891,16
NEWHAVEN,battens,1895,16
NEWHAVEN,boards,1895,16
Newport,boards,1889,16
Newport,sleepers,1881,16
PERTH,battens,1893,16
Plymouth,boards,1881,16
Poole,battens,1895,16
Portsmouth,boards,1887,16
Preston,boards,1895,16
Rochester,lathwood,1883,16
Shoreham,battens,1883,16
Shoreham,deals,1895,16
Southampton,wood,1883,16
Sunderland,boards,1897,16
Sunderland,firewood,1897,16
Tyne Ports,poles,1883,16
Tyne Ports,wood,1887,16
Whitehaven,deals,1889,16
Wick,staves,1881,16
Aberdeen,firewood,1885,15
Aberdeen,pit props,1891,15
Alloa,battens,1895,15
Alloa,deals,1891,15
Alloa,deals,1895,15
Alloa,pitwood,1885,15
Arbroath,lathwood,1881,15
Ayr,deals,1885,15
Ayr,pit props,1899,15
BEAUMARIS,deals,1881,15
BLYTH,boards,1897,15
BLYTH,deals,1893,15
Belfast,battens,1893,15
Belfast,ends,1893,15
Belfast,lathwood,1881,15
Belfast,pit props,1899,15
Belfast,staves,1897,15
Berwick-upon-Tweed,battens,1883,15
Berwick-upon-Tweed,deals,1883,15
Bo'ness,pitwood,1899,15
Borrowstounness,deals,1889,15
Bridgwater,boards,1885,15
Bridgwater,deals,1887,15
Bristol,firewood,1891,15
Bristol,handles,1887,15
Bristol,planks,1893,15
Bristol,scantlings,1887,15
Caernarfon,deals,1883,15
Cardiff,battens,1883,15
Cardiff,wood,1898,15
Charlestown,timber,1877,15
Colchester,battens,1883,15
Dublin,boards,1897,15
Dublin,timber,1885,15
Dundalk,deals,1883,15
Dundee,lathwood,1874,15
Dundee,timber,1879,15
EXETER,battens,1883,15
GRAVESEND,deals,1889,15
Glasgow,deal ends,1875,15
Glasgow,deal ends,1895,15
Glasgow,ends,1885,15
Glasgow,scantlings,1887,15
Glasgow,staves,1890,15
Glasgow,woodware,1887,15
Gloucester,boards,1885,15
Gloucester,ends,1891,15
Grangemouth,ends,1897,15
Grangemouth,firewood,1895,15
Grangemouth,lathwood,1885,15
Grangemouth,pit props,1891,15
Grangemouth,pit props,1897,15
Grangemouth,staves,1887,15
Grangemouth,timber,1895,15
Greenock,deal ends,1875,15
Greenock,squares,1891,15
Grimsby,mining timber,1881,15
Grimsby,pit props,1881,15
Grimsby,pit props,1889,15
Hartlepool (West),deal ends,1874,15
Hartlepool (West),deal ends,1875,15
Hartlepool (West),laths,1874,15
Hartlepool (West),mining timber,1875,15
Hartlepool (West),posts,1889,15
Hartlepool (West),timber,1893,15
Harwich,deals,1889,15
Hull,deal ends,1895,15
Hull,lathwood,1899,15
Hull,pit props,1892,15
Hull,pit props,1898,15
Hull,poles,1885,15
Hull,poles,1891,15
Hull,spokes,1899,15
Inverness,deals,1883,15
Inverness,firewood,1883,15
King's Lynn,timber,1881,15
Kirkcaldy,battens,1885,15
LANCASTER,deals,1883,15
Leith,boards,1883,15
Leith,pit props,1883,15
Leith,timber,1874,15
Leith,wood,1897,15
Limerick,deals,1885,15
Limerick,deals,1889,15
Liverpool,blocks,1893,15
Liverpool,doors,1891,15
Liverpool,mouldings,1889,15
Liverpool,mouldings,1898,15
Liverpool,planks,1881,15
Liverpool,sleepers,1875,15
Liverpool,spars,1895,15
Liverpool,splints,1891,15
London,battens,1892,15
London,deal ends,1875,15
London,joinery,1889,15
London,palings,1887,15
London,planks,1874,15
London,spars,1885,15
London,spars,1899,15
Londonderry,deals,1883,15
Middlesbrough,boards,1881,15
Middlesbrough,deals,1887,15
Middlesbrough,deals,1899,15
Middlesbrough,firewood,1899,15
Montrose,boards,1891,15
Montrose,deals,1891,15
NEWHAVEN,deals,1889,15
NEWHAVEN,deals,1895,15
NEWHAVEN,firewood,1889,15
NEWHAVEN,firewood,1899,15
NEWHAVEN,pitwood,1881,15
Newcastle,pit props,1897,15
Newcastle upon Tyne,crowntrees,1877,15
Newcastle upon Tyne,pit props,1875,15
Newport,pit props,1880,15
Newport,sleepers,1887,15
Newry,deals,1881,15
Peterhead,battens,1889,15
Peterhead,battens,1893,15
Peterhead,battens,1899,15
Plymouth,deals,1891,15
Plymouth,deals,1899,15
Plymouth,lathwood,1885,15
Poole,battens,1885,15
Poole,boards,1889,15
Poole,deals,1881,15
Portsmouth,boards,1889,15
Portsmouth,deals,1897,15
RAMSGATE,battens,1899,15
Southampton,firewood,1897,15
Southampton,hoops,1883,15
Southampton,wood,1881,15
Stockton,deals,1881,15
Sunderland,pit props,1888,15
Sunderland,pitwood,1893,15
Sunderland,splits,1885,15
Sunderland,timber,1881,15
Swansea,wood,1891,15
Tyne Ports,deal ends,1889,15
Tyne Ports,doors,1895,15
Tyne Ports,ends,1883,15
Tyne Ports,firewood,1875,15
Tyne Ports,hoops,1879,15
Tyne Ports,poles,1891,15
Tyne Ports,sleepers,1875,15
Tyne Ports,squares,1897,15
Tyne Ports,wood pulp,1881,15
Tyne Ports,wood pulp,1891,15
WISBECH,firewood,1883,15
Waterford,deals,1885,15
Aberdeen,pit props,1895,14
Alloa,battens,1887,14
Alloa,deals,1899,14
Alloa,staves,1885,14
Alloa,staves,1891,14
Ayr,pit props,1887,14
Ayr,pit props,1893,14
Belfast,lathwood,1887,14
Belfast,lathwood,1895,14
Belfast,logs,1897,14
Borrowstounness,deals,1883,14
Borrowstounness,sleepers,1889,14
Bridgwater,battens,1889,14
Bridgwater,battens,1893,14
Bridgwater,boards,1883,14
Bridgwater,boards,1897,14
Bristol,battens,1879,14
Bristol,ends,1895,14
Bristol,logs,1893,14
Bristol,mouldings,1891,14
Bristol,pit props,1877,14
Bristol,staves,1879,14
Bristol,timber,1879,14
Caernarfon,deals,1881,14
Cardiff,boards,1887,14
Charlestown,pit props,1874,14
Cork,ends,1885,14
Dublin,boards,1889,14
Dublin,boards,1895,14
Dublin,ends,1885,14
Dublin,lathwood,1885,14
Dublin,squares,1885,14
Dundee,boards,1895,14
Dundee,boards,1899,14
Dundee,firewood,1885,14
FAVERSHAM,battens,1895,14
FOWEY,staves,1885,14
Glasgow,blocks,1889,14
Glasgow,laths,1889,14
Glasgow,oars,1891,14
Glasgow,pit props,1887,14
Glasgow,pit props,1889,14
Glasgow,spoolwood,1887,14
Glasgow,timber,1883,14
Glasgow,timber,1891,14
Glasgow,timber,1893,14
Gloucester,lathwood,1881,14
Goole,pit props,1897,14
Grangemouth,boards,1897,14
Grangemouth,lathwood,1899,14
Grangemouth,mouldings,1883,14
Grangemouth,pit props,1879,14
Grangemouth,staves,1885,14
Grangemouth,staves,1891,14
Grangemouth,wood,1883,14
Granton,sleepers,1875,14
Greenock,deal ends,1885,14
Grimsby,pit props,1877,14
Grimsby,timber,1891,14
Hartlepool,pitwood,1899,14
Hartlepool (West),ends,1879,14
Hartlepool (West),laths,1893,14
Hartlepool (West),posts,1897,14
Harwich,battens,1885,14
Hull,boards,1890,14
Hull,deal ends,1887,14
Hull,handles,1889,14
Hull,mining timber,1893,14
Hull,mining timber,1897,14
Hull,pit props,1900,14
Hull,spars,1881,14
Hull,squares,1891,14
Ipswich,battens,1883,14
King's Lynn,mining timber,1883,14
LOWESTOFT,sleepers,1895,14
Leith,lathwood,1891,14
Leith,lathwood,1897,14
Leith,logs,1897,14
Leith,lumber,1897,14
Leith,sleepers,1874,14
Limerick,deals,1895,14
Liverpool,blocks,1881,14
Liverpool,doors,1893,14
Liverpool,mining timber,1893,14
Liverpool,mouldings,1883,14
Liverpool,oars,1891,14
Liverpool,pit props,1877,14
Liverpool,splints,1893,14
Liverpool,treenails,1883,14
London,deals,1898,14
London,laths,1900,14
London,palings,1874,14
London,scantlings,1893,14
London,sleepers,1898,14
London,splints,1885,14
London,splints,1887,14
London,splints,1889,14
London,woodware,1891,14
Methil,deals,1893,14
Methil,deals,1895,14
Middlesbrough,boards,1895,14
Middlesbrough,deals,1885,14
Middlesbrough,deals,1895,14
Middlesbrough,poles,1883,14
Middlesbrough,poles,1885,14
Middlesbrough,sleepers,1891,14
Montrose,battens,1899,14
Montrose,boards,1881,14
Montrose,deals,1887,14
Newcastle upon Tyne,headings,1877,14
Newport,battens,1893,14
Newport,pitwood,1877,14
PERTH,deals,1893,14
Peterhead,battens,1885,14
Peterhead,battens,1891,14
Peterhead,firewood,1895,14
Plymouth,deals,1885,14
Plymouth,lathwood,1883,14
Plymouth,spars,1881,14
Portsmouth,boards,1883,14
Rochester,staves,1881,14
SCARBOROUGH,firewood,1893,14
Shoreham,battens,1885,14
Shoreham,battens,1889,14
Shoreham,deals,1883,14
Shoreham,deals,1893,14
Southampton,battens,1881,14
Southampton,battens,1895,14
Southampton,boards,1885,14
Southampton,deals,1889,14
Sunderland,battens,1877,14
Sunderland,firewood,1893,14
Sunderland,pitwood,1897,14
Swansea,battens,1877,14
Swansea,boards,1891,14
Swansea,wood,1893,14
Tyne Ports,ends,1899,14
Tyne Ports,firewood,1883,14
Tyne Ports,hoops,1884,14
Tyne Ports,lathwood,1883,14
Tyne Ports,mouldings,1887,14
Tyne Ports,rails,1897,14
Tyne Ports,splits,1893,14
Tyne Ports,squares,1885,14
WISBECH,firewood,1885,14
Wick,ends,1881,14
Yarmouth,firewood,1899,14
Yarmouth,staves,1889,14
Aberdeen,pit props,1881,13
Aberdeen,staves,1893,13
Alloa,staves,1897,13
Ayr,battens,1893,13
Ayr,deals,1883,13
Ayr,deals,1889,13
Ayr,deals,1893,13
Barrow-in-Furness,battens,1889,13
Barrow-in-Furness,ends,1893,13
Barrow-in-Furness,scantlings,1885,13
Belfast,logs,1895,13
Belfast,lumber,1899,13
Berwick-upon-Tweed,battens,1889,13
Berwick-upon-Tweed,battens,1893,13
Borrowstounness,pitwood,1881,13
Boston,mining timber,1889,13
Boston,sleepers,1893,13
Bristol,staves,1885,13
Bristol,staves,1893,13
Bristol,timber,1897,13
COWES,deals,1885,13
Cardiff,ends,1891,13
Cardiff,ends,1895,13
Cardiff,pitwood,1880,13
Colchester,battens,1885,13
Colchester,deals,1885,13
Colchester,deals,1897,13
Dover,battens,1881,13
Dover,firewood,1883,13
Dublin,boards,1891,13
Dublin,flooring,1887,13
Dublin,spars,1899,13
Dundalk,battens,1885,13
Dundee,boards,1891,13
Dundee,boards,1897,13
Dundee,firewood,1895,13
Dundee,pit props,1887,13
Dundee,timber,1877,13
EXETER,deals,1883,13
FAVERSHAM,deals,1895,13
Fleetwood,boards,1899,13
Fleetwood,ends,1891,13
Fraserburgh,staves,1883,13
Glasgow,blocks,1897,13
Glasgow,boards,1893,13
Glasgow,mouldings,1897,13
Glasgow,palings,1874,13
Glasgow,palings,1877,13
Glasgow,shooks,1883,13
Glasgow,spoolwood,1885,13
Glasgow,timber,1875,13
Gloucester,battens,1891,13
Gloucester,battens,1899,13
Gloucester,boards,1881,13
Gloucester,ends,1893,13
Gloucester,firewood,1889,13
Goole,boards,1895,13
Goole,deals,1899,13
Grangemouth,sleepers,1883,13
Grangemouth,sleepers,1889,13
Grangemouth,staves,1879,13
Granton,battens,1899,13
Greenock,deal ends,1887,13
Greenock,deal ends,1893,13
Greenock,lathwood,1874,13
Greenock,planks,1889,13
Greenock,squares,1874,13
Greenock,squares,1877,13
Greenock,squares,1895,13
Greenock,timber,1874,13
Grimsby,lathwood,1877,13
Grimsby,timber,1899,13
Hartlepool (West),laths,1881,13
Hartlepool (West),logs,1889,13
Harwich,deals,1895,13
Harwich,firewood,1897,13
Hull,blocks,1895,13
Hull,doors,1889,13
Hull,doors,1893,13
Hull,ends,1891,13
Hull,logs,1887,13
Hull,poles,1889,13
Hull,squares,1885,13
Inverness,deals,1899,13
Ipswich,firewood,1895,13
King's Lynn,mining timber,1881,13
Kirkcaldy,battens,1881,13
LANCASTER,deals,1893,13
LOWESTOFT,deals,1885,13
LOWESTOFT,deals,1887,13
Leith,ends,1899,13
Liverpool,boards,1898,13
Liverpool,headings,1899,13
Liverpool,hoops,1895,13
Liverpool,lathwood,1875,13
Liverpool,lathwood,1891,13
Liverpool,lathwood,1897,13
Liverpool,pit props,1874,13
Liverpool,planks,1874,13
Liverpool,planks,1898,13
Liverpool,spokes,1897,13
Liverpool,spokes,1899,13
Llanelli,pitwood,1897,13
London,deals,1886,13
London,deals,1892,13
London,doors,1900,13
London,flooring,1879,13
London,flooring,1893,13
London,palings,1889,13
London,squares,1889,13
London,squares,1897,13
Lynn,timber,1879,13
Maryport,deals,1881,13
Middlesbrough,battens,1887,13
Middlesbrough,deals,1889,13
Middlesbrough,poles,1899,13
Middlesbrough,sleepers,1899,13
Montrose,deals,1885,13
NEWHAVEN,boards,1889,13
NEWHAVEN,firewood,1881,13
Newport,ends,1899,13
Newport,pit props,1879,13
Newport,pitwood,1900,13
Newry,deals,1889,13
Peterhead,staves,1887,13
Plymouth,deals,1883,13
Plymouth,firewood,1887,13
Portsmouth,battens,1893,13
Portsmouth,battens,1897,13
Preston,deals,1897,13
Rochester,battens,1897,13
Rochester,deals,1897,13
Runcorn,laths,1895,13
Shoreham,battens,1893,13
Shoreham,deals,1889,13
Shoreham,deals,1899,13
Shoreham,firewood,1899,13
Southampton,deals,1877,13
Southampton,deals,1883,13
Southampton,deals,1887,13
Southampton,deals,1891,13
Southampton,deals,1895,13
Southampton,deals,1897,13
Southampton,deals,1899,13
Sunderland,poles,1885,13
Swansea,deals,1889,13
Swansea,pitwood,1898,13
Troon,deals,1883,13
Tyne Ports,deal ends,1885,13
Tyne Ports,ends,1897,13
Tyne Ports,flooring,1897,13
Tyne Ports,logs,1899,13
Tyne Ports,mouldings,1897,13
Tyne Ports,squares,1891,13
Wick,staves,1887,13
Wick,staves,1895,13
Woolwich,deals,1887,13
Yarmouth,ends,1895,13
Yarmouth,firewood,1891,13
Yarmouth,lathwood,1879,13
Aberdeen,deals,1889,12
Aberdeen,pit props,1899,12
Alloa,battens,1879,12
Alloa,battens,1893,12
Alloa,deals,1883,12
Alloa,deals,1893,12
BLYTH,deals,1891,12
BLYTH,mining timber,1889,12
Banff,battens,1885,12
Barrow-in-Furness,deals,1899,12
Barrow-in-Furness,sleepers,1877,12
Belfast,battens,1889,12
Belfast,boards,1887,12
Belfast,ends,1899,12
Belfast,lumber,1897,12
Belfast,palings,1889,12
Belfast,scantlings,1891,12
Belfast,sleepers,1889,12
Belfast,staves,1895,12
Berwick-upon-Tweed,deals,1893,12
Bo'ness,pit props,1897,12
Borrowstounness,battens,1891,12
Borrowstounness,deals,1899,12
Boston,deals,1893,12
Boston,firewood,1897,12
Bristol,deal ends,1895,12
Bristol,ends,1879,12
Bristol,firewood,1885,12
Bristol,lathwood,1879,12
Bristol,planks,1895,12
Bristol,planks,1899,12
Bristol,scantlings,1889,12
Bristol,timber,1885,12
COWES,battens,1885,12
COWES,pitwood,1897,12
Cardiff,pit props,1882,12
Cardiff,pitwood,1886,12
Cardiff,staves,1883,12
Cork,battens,1885,12
Cork,ends,1881,12
DOUGLAS,battens,1883,12
DOUGLAS,boards,1883,12
DOUGLAS,deals,1883,12
DOUGLAS,deals,1885,12
Dover,battens,1883,12
Dover,firewood,1881,12
Dundalk,battens,1883,12
Dundee,boards,1893,12
Dundee,lathwood,1875,12
Dundee,lathwood,1883,12
Dundee,lathwood,1897,12
Dundee,pit props,1881,12
EXETER,battens,1893,12
FOWEY,staves,1889,12
Glasgow,handles,1895,12
Glasgow,lumber,1892,12
Glasgow,mouldings,1881,12
Glasgow,scantlings,1895,12
Glasgow,spoolwood,1883,12
Glasgow,staves,1888,12
Glasgow,timber,1885,12
Goole,battens,1899,12
Goole,boards,1897,12
Grangemouth,firewood,1883,12
Grangemouth,firewood,1899,12
Grangemouth,pit props,1895,12
Granton,battens,1887,12
Granton,blocks,1889,12
Granton,wood pulp,1877,12
Greenock,staves,1889,12
Grimsby,firewood,1899,12
Grimsby,oars,1883,12
Grimsby,poles,1899,12
Grimsby,spars,1883,12
Hartlepool,poles,1899,12
Hartlepool (West),ends,1887,12
Hartlepool (West),mining timber,1874,12
Hartlepool (West),mining timber,1893,12
Hartlepool (West),poles,1877,12
Harwich,battens,1895,12
Hull,deal ends,1875,12
Hull,handles,1895,12
Hull,laths,1900,12
Hull,logs,1874,12
Hull,logs,1881,12
Hull,lumber,1895,12
Hull,lumber,1897,12
Hull,pit props,1877,12
Hull,poles,1887,12
Hull,squares,1881,12
Inverness,battens,1891,12
LANCASTER,deals,1887,12
LERWICK,staves,1885,12
LITTLEHAMPTON,battens,1893,12
LITTLEHAMPTON,boards,1897,12
LOWESTOFT,boards,1889,12
Leith,boards,1891,12
Leith,logs,1893,12
Leith,staves,1875,12
Liverpool,blocks,1883,12
Liverpool,deals,1900,12
Liverpool,spars,1887,12
Liverpool,spokes,1895,12
Llanelli,pitwood,1893,12
London,batten ends,1885,12
London,battens,1900,12
London,handles,1891,12
London,joinery,1895,12
London,lumber,1892,12
London,palings,1881,12
London,pitwood,1883,12
London,planks,1900,12
London,spars,1893,12
London,trellis,1885,12
London,trellis,1893,12
London,trellis,1899,12
London,wood,1898,12
Lynn,battens,1879,12
Lynn,boards,1899,12
MANCHESTER,pit props,1897,12
Maryport,deals,1883,12
Methil,battens,1893,12
Middlesbrough,battens,1889,12
Middlesbrough,battens,1891,12
Middlesbrough,boards,1899,12
Middlesbrough,deals,1883,12
Middlesbrough,sleepers,1885,12
Middlesbrough,sleepers,1897,12
NEWHAVEN,firewood,1885,12
NEWHAVEN,firewood,1887,12
NEWHAVEN,firewood,1895,12
NEWHAVEN,staves,1897,12
Newport,battens,1887,12
Newport,mining timber,1883,12
Newport,pit props,1882,12
Newport,wood,1889,12
Newport,wood,1893,12
Newry,deals,1891,12
Newry,deals,1895,12
Northfleet,staves,1887,12
Peterhead,deals,1881,12
Peterhead,staves,1891,12
Plymouth,deals,1897,12
Port Glasgow,deals,1875,12
Portsmouth,deals,1893,12
