year,shipments
1883,14972
1889,14474
1881,13982
1885,13532
1899,13421
1887,13205
1891,13010
1897,12619
1895,12014
1893,11186
1879,7074
1877,5552
1874,4652
1875,4309
1898,806
1884,726
1892,722
1900,652
1890,460
1896,337
1880,298
1888,289
1882,230
1886,230
1878,98
1876,68
