merchant,destination,year,shipments
R. W. Stonehouse & Co.,Newport,1881,123
Newport Pitwood Co.,Newport,1883,113
Farnworth & Jardine,Liverpool,1897,102
Love,Borrowstounness,1883,89
G. Horsley & Co.,Hartlepool (West),1883,87
"Jones, Heard, & Ingram",Cardiff,1883,86
Farnworth & Jardine,Liverpool,1895,83
Rayner & Moller,Sunderland,1889,83
Lowell,Cardiff,1881,82
Newport Pitwood Co.,Newport,1885,81
"Pyman, Bell, & Co.",Hull,1899,81
Budd & Co.,Newport,1889,80
Love,Borrowstounness,1885,78
"R. Wade, Sons, & Co.",Hartlepool (West),1875,75
Denholm & Co.,Borrowstounness,1885,74
Farnworth & Jardine,Liverpool,1893,72
Wilsons,Hull,1895,72
A. Thomson & Nephews,Grangemouth,1874,70
Drysdale Bros.,Liverpool,1885,70
"Jones, Heard, & Co.",Newport,1883,70
"R. Wade, Sons, & Co.",Hartlepool (West),1874,70
Budd & Co.,Newport,1899,69
Gibson & Co.,Leith,1885,69
J. Rhodes & Co.,Hartlepool (West),1875,69
Love,Borrowstounness,1889,69
Budd & Co.,Newport,1897,68
J. Denholm & Co.,Borrowstounness,1889,68
Millar & Sons,Montrose,1883,68
Wilson,Hull,1874,68
Budd & Co.,Newport,1885,67
A. Capelle,Cardiff,1899,66
Simkin Bros.,Cardiff,1889,64
Moller,Sunderland,1883,62
Bennetts & Co.,Grimsby,1885,61
Hattley Hay,Liverpool,1889,61
Price & Co.,Grimsby,1879,61
"R. Wade, Sons, & Co.",Hartlepool (West),1883,61
Love & Stewart,Borrowstounness,1889,59
Newport Pitwood Co.,Newport,1889,59
Bennetts & Co.,Grimsby,1881,58
Edmiston & Mitchells,Glasgow,1897,58
Churchill,London,1879,57
J. T. Salvesen & Co.,Grangemouth,1877,57
Love & Stewart,Borrowstounness,1887,57
Wilson,Hull,1875,57
"& c., Steweni",Hull,1874,55
English Bros.,WISBECH,1885,55
Denholm & Co.,Borrowstounness,1883,54
Morel Bros.,Cardiff,1881,54
A. Capelle,Cardiff,1893,53
Bennetts,Grimsby,1879,53
Drysdale,Liverpool,1887,53
Gibson & Co.,Leith,1883,53
Moller,Sunderland,1889,53
Rayner & Moller,Sunderland,1887,53
J. Denholm & Co.,Borrowstounness,1895,52
