merchant,destination,year,shipments
Madsen & Borch,Alloa,1899,52
Ingram,Cardiff,1883,51
J. Denholm & Co.,Borrowstounness,1893,51
Rayner & Moller,Sunderland,1883,51
Alexanders & Co.,Cardiff,1889,50
Edmiston & Mitchells,Glasgow,1895,50
G. Horsley & Co.,Hartlepool (West),1881,50
J. Denholm & Co.,Borrowstounness,1891,50
Love,Borrowstounness,1881,50
Rayner & Moller,Sunderland,1885,50
Tyne Steam Shipping Co.,Tyne Ports,1883,50
Bennetts & Co.,Grimsby,1887,49
English Bros.,WISBECH,1881,49
Harrison & Singleton,Hartlepool (West),1877,49
Llynvi & Co.,Swansea,1885,49
Moller,Sunderland,1881,49
Newport Pitwood Co.,Newport,1895,49
Rayner & Moller,Sunderland,1881,49
Tyne Steamship Co.,Tyne Ports,1893,49
Denholm,Borrowstounness,1883,48
J. Denholm & Co.,Borrowstounness,1897,48
J. T. Salvesen & Co.,Grangemouth,1874,48
Jones,Cardiff,1881,48
Love & Stewart,Borrowstounness,1883,48
T. W. Allen & Son,Hull,1899,48
G. Gibson & Co.,Leith,1881,47
Love,Borrowstounness,1887,47
Roberts & Cooper,Hull,1899,47
G. Horsley & Co.,Hartlepool (West),1885,46
Goole Steamship Co.,Goole,1883,46
"Mitchell, Somerville, & Co.",Leith,1877,46
"Mitchell, Thomson, & Co.",Granton,1877,46
Price & Co.,Gloucester,1885,46
"Pyman, Bell, & Co.",Hull,1895,46
R. Millar & Sons,Montrose,1889,46
Simkin Bros.,Cardiff,1885,46
Simkin Bros.,Cardiff,1887,46
Tyne Steamship Co.,Tyne Ports,1883,46
Tyne Steamship Co.,Tyne Ports,1895,46
Wilsons,Hull,1899,46
A. Capelle,Cardiff,1897,45
Churchill,London,1883,45
Churchill & Sim,London,1881,45
J. C. Pinkerton,Belfast,1885,45
J. C. Pinkerton,Belfast,1889,45
J. Denholm & Co.,Borrowstounness,1887,45
J. T. Salvesen & Co.,Grangemouth,1875,45
Love & Stewart,Borrowstounness,1899,45
"Powley, Thomas, & Co.",Cardiff,1893,45
Salvesen & Co.,Granton,1883,45
J. P. Hornung & Son,Middlesbrough,1883,44
Steweni,Hull,1874,44
W. J. Watson & Co.,Middlesbrough,1899,44
Budd & Co.,Newport,1893,43
Farnworth & Jardine,Liverpool,1899,43
Newport Pitwood Co.,Newport,1893,43
Salvesen & Co.,Granton,1885,43
"& c., Winter",Hull,1874,42
Bell & Sime,Dundee,1885,42
Drysdale Bros.,Liverpool,1887,42
Goole Steamship Co.,Goole,1885,42
J. Sutcliffe & Son,Grimsby,1883,42
Love,Alloa,1891,42
Love,Borrowstounness,1895,42
Love & Stewart,Borrowstounness,1885,42
Love & Stewart,Borrowstounness,1897,42
Madsen,Alloa,1889,42
Price & Co.,Grimsby,1877,42
"Pyman, Bell, & Co.",Hull,1897,42
"R. Wade, Sons, & Co.",Hartlepool (West),1877,42
"R. Wade, Sons, & Co.",Hartlepool (West),1885,42
Bennetts & Co.,Grimsby,1877,41
Bennetts & Co.,Grimsby,1899,41
English Bros.,WISBECH,1895,41
Farnworth & Jardine,Liverpool,1887,41
G. Heyn & Sons,Belfast,1897,41
Harrison & Singleton,Hartlepool (West),1885,41
Love & Stewart,Borrowstounness,1891,41
W. J. Watson & Co.,Middlesbrough,1889,41
"Watts, Ward, & Co.",Cardiff,1891,41
"Wilson, Sons, & Co.",Hull,1891,41
Brownlee & Co.,Grangemouth,1887,40
E. A. Casper & Co.,Hartlepool (West),1889,40
Henry Smith & Co.,Hull,1895,40
J. Scott & Son,Tyne Ports,1895,40
Kirkwood & Co.,Alloa,1891,40
Wilsons,Hull,1897,40
Bennetts & Co.,Grimsby,1883,39
Budd & Co.,Newport,1895,39
Drysdale Bros.,Liverpool,1889,39
Edmiston & Mitchells,Glasgow,1899,39
Farnworth & Jardine,Liverpool,1891,39
Harrison & Singleton,Hartlepool (West),1883,39
"Hewson, Chapman & Co.",Grimsby,1897,39
J. Denholm & Co.,Borrowstounness,1899,39
Love & Stewart,Borrowstounness,1877,39
R. & R. Bayly,Plymouth,1887,39
Simkin,Cardiff,1889,39
Thompson,Lynn,1879,39
"& c., Granberg",Hull,1874,38
Duus Brown & Co.,London,1885,38
J. Denholm & Co.,Borrowstounness,1881,38
Love,Alloa,1889,38
Moller,Sunderland,1887,38
Rayner & Moller,Sunderland,1891,38
"Watts, Ward, & Co.",Cardiff,1893,38
"Watts, Williams, & Co.",Cardiff,1899,38
Budd & Co.,Newport,1883,37
G. Gibson & Co.,Leith,1887,37
G. Heyn & Sons,Belfast,1899,37
Harrison & Singleton,,1877,37
J. P. Hornung & Son,Middlesbrough,1881,37
John Denholm & Co.,Borrowstounness,1887,37
Love & Stewart,Borrowstounness,1879,37
P. Lowell,Cardiff,1881,37
"Price, Potter, Walker, & Co.",Barrow-in-Furness,1877,37
"Pyman, Bell, & Co.",Tyne Ports,1899,37
"R. Wade, Sons, & Co.",Hartlepool (West),1889,37
"Seddon, Shepherd, & Co.",Grimsby,1885,37
Stonehouse,Newport,1881,37
Bennetts & Co.,Grimsby,1879,36
Bennetts & Co.,Grimsby,1889,36
Drysdale Bros.,Liverpool,1893,36
English Bros.,WISBECH,1883,36
G. Heyn & Sons,Belfast,1895,36
Price & Co.,Gloucester,1881,36
"R. Wade, Sons, & Co.",Hull,1895,36
Rayner & Moller,Sunderland,1879,36
Tyne Steam Shipping Co.,Tyne Ports,1881,36
W. J. Young,Hartlepool (West),1883,36
"Watts, Ward, & Co.",Newport,1893,36
E. S. Jobson & Co.,Hartlepool (West),1877,35
J. C. Pinkerton,Belfast,1883,35
"Jones, Heard, & Ingram",Cardiff,1881,35
Love,Borrowstounness,1891,35
Madsen & Borck,Alloa,1883,35
Moller,Sunderland,1891,35
Newport Pitwood Co.,Newport,1899,35
Pickford & Co.,Hartlepool (West),1883,35
R. Millar & Sons,Montrose,1887,35
Simkin Bros.,Cardiff,1895,35
Stonehouse,Newport,1879,35
"Watts, Ward, & Co.",Cardiff,1889,35
Wintringham & Son,Grimsby,1899,35
C. Salvesen & Co.,Granton,1899,34
Churchill & Sim,London,1885,34
G. Gibson & Co.,Leith,1891,34
"Jones, Heard",Newport,1879,34
Millar & Sons,Montrose,1885,34
"Mitchell, Thomson, & Co.",Granton,1889,34
P. & J. Wilkie,Grangemouth,1887,34
Price & Co.,Grimsby,1881,34
R. Millar & Sons,Montrose,1881,34
Watts,Newport,1895,34
"Allison, Cousland, & Co.",Glasgow,1897,33
Bennetts & Co.,Grimsby,1895,33
Churchill & Sim,London,1883,33
English Bros.,WISBECH,1889,33
Farnworth & Co.,Liverpool,1877,33
G. Gibson & Co.,Leith,1889,33
Gulstad & Co.,Borrowstounness,1877,33
Harrison & Singleton,Hartlepool (West),1881,33
J. T. Salvesen & Co.,Grangemouth,1887,33
J. T. Salvesen & Co.,Grangemouth,1899,33
"Jones, Heard, & Co.",Swansea,1883,33
Love,Borrowstounness,1897,33
"Manzanos, Cristobal, & Co.",Cardiff,1885,33
Newport Pitwood Co.,Cardiff,1895,33
Newport Pitwood Co.,Newport,1891,33
P. & J. Wilkie,Grangemouth,1885,33
P. & J. Wilkie,Grangemouth,1891,33
Price & Co.,Gloucester,1879,33
Price & Co.,Gloucester,1883,33
Pyman,Hull,1895,33
W. J. Watson & Co.,Middlesbrough,1885,33
With & Co.,London,1879,33
A. Capelle,Cardiff,1895,32
Brownlee & Co.,Grangemouth,1893,32
"Duncan, Ewing, & Co.",Liverpool,1895,32
G. Gibson & Co.,Leith,1883,32
G. Horsley & Co.,Hartlepool (West),1889,32
Goole Steamship Co.,Goole,1897,32
J. C. Pinkerton,Belfast,1887,32
J. Hewson & Co.,Grimsby,1895,32
Tyne Steam Shipping Co.,Tyne Ports,1893,32
Alexanders & Co.,Cardiff,1881,31
Alexanders & Co.,Cardiff,1883,31
"Bell, Harrison & Co.",Cardiff,1899,31
Budd & Co.,Newport,1891,31
Duus & Co.,London,1879,31
Duus Brown & Co.,London,1883,31
Fischer & Co.,Alloa,1885,31
G. A. Carr & Co.,Grimsby,1887,31
"G. W. Jones, Heard, & Co.",Newport,1889,31
H. & Singleton,Hartlepool (West),1879,31
Heard,Newport,1883,31
Kirkwood & Co.,Alloa,1897,31
Llynvi & Tondu Co.,Swansea,1881,31
Love & Stewart,Borrowstounness,1893,31
Newport Pitwood Co.,Cardiff,1891,31
Newport Pitwood Co.,Newport,1897,31
P. & J. Wilkie,Grangemouth,1889,31
"Price, Potter, & Co.",Barrow-in-Furness,1885,31
"Price, Potter, Walker, & Co.",Barrow-in-Furness,1883,31
W. Thomson & Co.,Leith,1899,31
"Wilson, Sons, & Co.",Hull,1887,31
"& c., Granberg",Hull,1875,30
Alexanders & Co.,Cardiff,1885,30
Alexanders & Co.,Cardiff,1887,30
Bell & Sime,Dundee,1889,30
Bennetts & Co.,Grimsby,1893,30
Denholm & Co.,Borrowstounness,1879,30
Drysdale,Liverpool,1885,30
"Duncan, Ewing, & Co.",Liverpool,1899,30
English Bros.,WISBECH,1891,30
English Bros.,WISBECH,1897,30
Hooper,Cardiff,1893,30
"Jones, Heard",Cardiff,1879,30
Love & Stewart,Borrowstounness,1881,30
Madsen & Borch,Alloa,1897,30
R. & R. Bayly,Plymouth,1881,30
"Wade, Sons, & Co.",Hartlepool (West),1881,30
Wm. Davies & Co.,Swansea,1899,30
Budd & Co.,Newport,1887,29
Denholm,Borrowstounness,1885,29
E. Chaloner & Co.,Liverpool,1895,29
English Bros.,WISBECH,1893,29
"English Bros., Ltd.",WISBECH,1899,29
Fischer,Alloa,1885,29
G. Horsley & Co.,Hartlepool (West),1897,29
H. Smith & Co.,Hull,1885,29
J. Fleming,Dundee,1883,29
James Davis,Swansea,1881,29
Llynvi & Co.,Swansea,1887,29
"Park, Dobson, & Co.",Leith,1883,29
"R. Wade, Sons, & Co.",,1877,29
Simkin,Cardiff,1885,29
Simkin Bros.,Cardiff,1893,29
"Wilson, Sons, & Co.",Hull,1893,29
Winter,Hull,1874,29
A. Garland & Roger,Leith,1889,28
"Allison, Cousland, & Hamilton",Glasgow,1885,28
Bell & Sime,Dundee,1887,28
Brownlee & Co.,Grangemouth,1885,28
Brownlee & Co.,Grangemouth,1889,28
Chas. Wells & Co.,Hull,1895,28
E. Wiener & Co.,Sunderland,1897,28
English Bros.,WISBECH,1887,28
Goole Steam Shipping Co.,Goole,1883,28
Henry Smith & Co.,Hull,1899,28
Jones,Newport,1881,28
P. Osbeck,Newcastle upon Tyne,1877,28
Pickford & Co.,Hartlepool (West),1897,28
R. & R. Bayly,Plymouth,1895,28
Simkin Bros.,Cardiff,1891,28
Simkin Bros.,Cardiff,1897,28
"Singleton, Dunn, & Co.",Glasgow,1899,28
W. R. Corfield,Cardiff,1897,28
"Wilson, Sons, & Co.",Hull,1889,28
"& c., J. Rhodes & Co.",Hartlepool (West),1875,27
A. Capelle,Cardiff,1891,27
A. Dobell & Co.,Liverpool,1885,27
Bell & Sime,Dundee,1883,27
Churchill & Sim,London,1891,27
Crossfield & Co.,Barrow-in-Furness,1893,27
Duus Brown & Co.,London,1881,27
Edmiston & Mitchells,Glasgow,1889,27
Farnworth & Co.,Liverpool,1883,27
James Scott,Tyne Ports,1887,27
Jewson & Sons,Yarmouth,1895,27
Kirkwood & Co.,Alloa,1899,27
Love,Alloa,1885,27
Lowell,Cardiff,1883,27
"Mitchell, Somerville, & Co.",Leith,1874,27
"Mitchell, Thomson, & Co.",Granton,1883,27
P. & J. Wilkie,Grangemouth,1895,27
Pedersen & Co.,Hartlepool (West),1895,27
"Price, Walker, & Co.",Gloucester,1889,27
"R. Wade, Sons & Co., Ltd.",Hull,1899,27
"R. Wade, Sons, & Co.",Hartlepool (West),1887,27
"Singleton, Dunn, & Co.",Glasgow,1885,27
W. Thomson & Co.,Leith,1897,27
"Watts, Williams, & Co.",Cardiff,1895,27
"& c., Winter",Hull,1875,26
A. H. Tapson & Co.,Cardiff,1897,26
Albion yard,London,1887,26
Brownlee & Co.,Grangemouth,1883,26
Brownlee & Co.,Grangemouth,1899,26
C. Salvesen & Co.,Leith,1891,26
Duus Brown & Co.,London,1899,26
E. Wiener & Co.,Sunderland,1893,26
E. Wiener & Co.,Sunderland,1895,26
Edmiston & Mitchells,Glasgow,1887,26
Harrison & Singleton,Hartlepool (West),1875,26
Harrison & Singleton,Hartlepool (West),1889,26
"Illingworth, Ingham, & Co.",Goole,1887,26
J. Sutcliffe & Son,Grimsby,1885,26
J. T. Salvesen & Co.,Grangemouth,1897,26
John Denholm & Co.,Borrowstounness,1891,26
Morel,Cardiff,1881,26
Morel Bros. & Co.,Cardiff,1881,26
"Powley, Thomas, & Co.",Cardiff,1891,26
"Powley, Thomas, & Co.",Cardiff,1895,26
Russia yard,London,1885,26
Russia yard,London,1887,26
"Seddon, Shepherd, & Co.",Grimsby,1891,26
Stave yard,London,1887,26
Stonehouse & Co.,Newport,1881,26
W. & A. Laycock,Hartlepool (West),1877,26
Wade & Co.,Hull,1879,26
"Watts, Ward, & Co.",Cardiff,1887,26
"Wright, Graham, & Co.",Glasgow,1899,26
A. Thomson & Nephews,Grangemouth,1875,25
Bell & Sime,Dundee,1893,25
Bland & Co.,Cardiff,1885,25
C. Salvesen & Co.,Granton,1887,25
C. Salvesen & Co.,Granton,1895,25
Edmiston & Mitchells,Glasgow,1891,25
F. Reeves,NEWHAVEN,1897,25
Farnworth & Co.,Liverpool,1874,25
Farnworth & Co.,Liverpool,1875,25
Farnworth & Co.,Liverpool,1881,25
"Horsley, Smith, & Co.",Hull,1895,25
J. Sutcliffe & Son,Grimsby,1897,25
John Denholm & Co.,Borrowstounness,1889,25
Madsen,Alloa,1891,25
Manzanos,Cardiff,1887,25
"Price, Potter, & Co.",Barrow-in-Furness,1887,25
R. & R. Bayly,Plymouth,1889,25
Simson & Mason,London,1883,25
"T. Wilson, Sons, & Co.",Grimsby,1895,25
"Tagart, Beaton & Co.",London,1899,25
W. J. Watson & Co.,Middlesbrough,1887,25
W. Thomson & Co.,Leith,1883,25
Wade,Hartlepool (West),1879,25
A. Capelle,Cardiff,1889,24
Brownlee & Co.,Grangemouth,1879,24
C. A. Forslind & Co.,Hartlepool (West),1889,24
C. Salvesen & Co.,Granton,1893,24
Churchill & Sim,London,1893,24
Drysdale Bros.,Liverpool,1895,24
"Duncan, Ewing, & Co.",Liverpool,1897,24
Duus Brown & Co.,London,1887,24
Duus Brown & Co.,London,1889,24
G. Heyn & Sons,Belfast,1889,24
Goole Steamship Co.,Goole,1891,24
Hattley Hay,Liverpool,1887,24
Heard,Newport,1885,24
Ingram,Cardiff,1885,24
J. & W. Jackson,Whitehaven,1883,24
J. Black & Co.,Newcastle upon Tyne,1877,24
James Scott,Tyne Ports,1889,24
"Jones, Heard, & Co.",Newport,1881,24
"Jones, Heard, & Co.",Newport,1885,24
Manchester Ship Canal Co.,MANCHESTER,1899,24
McPherson & McLaren,Grangemouth,1887,24
Mitshel,Sunderland,1889,24
P. & J. Wilkie,Grangemouth,1893,24
"Park, Dobson, & Co.",Leith,1889,24
Pedersen & Co.,Hartlepool (West),1897,24
"Price, Walker, & Co.",Gloucester,1895,24
Rayner & Moller,Sunderland,1877,24
Reynolds,London,1879,24
"Singleton, Dunn, & Co.",Glasgow,1883,24
Tagart & Co.,London,1879,24
Tyne Steamship Co.,Tyne Ports,1885,24
Vogt & Maguire,Liverpool,1897,24
W. J. Young,Hartlepool (West),1881,24
Watts,Cardiff,1895,24
"& c., Wilson",Hull,1875,23
Bennetts & Co.,Grimsby,1891,23
Bennetts & Co.,Grimsby,1897,23
C. Salvesen & Co.,Leith,1893,23
Cowdenbeath Coal Co.,Alloa,1889,23
D. Sandison,Wick,1883,23
Denholm,Borrowstounness,1881,23
"Felber, Jucker & Co.",MANCHESTER,1899,23
Fife Coal Co.,Methil,1895,23
Forslind & Rex,Leith,1895,23
"Fox, Eliott, & Co.",Plymouth,1883,23
"Foy, Morgan, & Co.",London,1899,23
G. A. Carr & Co.,Grimsby,1889,23
"Hewson, Chapman & Co.",Grimsby,1899,23
Horsley,Hartlepool (West),1883,23
"Illingworth, Ingham, & Co.",Goole,1883,23
J. C. Pinkerton,Belfast,1891,23
J. T. Salvesen & Co.,Grangemouth,1891,23
"Jones, Heard, & Ingram",Cardiff,1885,23
Madsen,Alloa,1883,23
"Mitshel, Pedersen, & Co.",Sunderland,1889,23
Newport Pitwood Co.,Cardiff,1897,23
Pickford & Co.,Hartlepool (West),1885,23
"Price, Walker, & Co.",Gloucester,1893,23
R. & R. Bayly,Plymouth,1883,23
R. & R. Bayly,Plymouth,1899,23
T. Adams & Co.,Gloucester,1885,23
T. Walker & Co.,Hartlepool (West),1875,23
W. J. Watson & Co.,Middlesbrough,1893,23
"Wilson, Sons, & Co.",Hull,1885,23
Wintringham & Son,Grimsby,1889,23
A. H. Tapson & Co.,Cardiff,1899,22
Alexanders & Co.,Cardiff,1891,22
Bell & Sime,Dundee,1879,22
Bennetts,Grimsby,1881,22
Brownlee & Co.,Grangemouth,1891,22
Budd,Newport,1889,22
C. Salvesen & Co.,Granton,1889,22
C. Salvesen & Co.,Granton,1891,22
C. Salvesen & Co.,Granton,1897,22
C. Salvesen & Co.,Leith,1887,22
Churchill & Sim,London,1889,22
Consignees,Liverpool,1885,22
Denholm,Borrowstounness,1889,22
Dixon & Sons,Belfast,1885,22
E. Chaloner & Co.,Liverpool,1887,22
E. Chaloner & Co.,Liverpool,1891,22
Edmiston & Mitchells,Glasgow,1885,22
F. Reeves,NEWHAVEN,1891,22
Fife Coal Co.,Kirkcaldy,1897,22
"Fox, Eliott, & Co.",Plymouth,1885,22
Goole Steam Shipping Co.,Goole,1891,22
Granberg,Hull,1874,22
Harrison & Singleton,Hartlepool (West),1897,22
"Illingworth, Ingham, & Co.",Goole,1889,22
J. Bland & Co.,Cardiff,1881,22
J. Bland & Co.,Cardiff,1887,22
J. C. Pinkerton,Belfast,1893,22
Jewson & Sons,Yarmouth,1899,22
John Sutcliffe & Son,Grimsby,1891,22
Jones & Nash,Bristol,1881,22
Jones & Nash,Bristol,1883,22
Knott & Barker,Grimsby,1899,22
Love,Borrowstounness,1899,22
"Manzanos, Cristobal, & Co.",Cardiff,1883,22
Mitshel,Sunderland,1887,22
Moller,,1881,22
P. & J. Wilkie,Grangemouth,1883,22
"Price, Walker, & Co.",Gloucester,1897,22
R. & R. Bayly,Plymouth,1885,22
R. & R. Bayly,Plymouth,1893,22
Rennie,Alloa,1895,22
S. Ellis,Grimsby,1885,22
Stevenson,Borrowstounness,1889,22
T. Adams & Co.,Gloucester,1883,22
Thompson & Co.,King's Lynn,1881,22
Victor Nilson & Co.,Hartlepool (West),1887,22
W. J. Watson & Co.,Middlesbrough,1891,22
W. R. Corfield,Cardiff,1899,22
Watson & Todd,Liverpool,1899,22
"Watts, Williams, & Co.",Newport,1895,22
"& c., Wilson",Hull,1874,21
Bell & Sime,Dundee,1891,21
Bell & Sime,Dundee,1897,21
Brownlee & Co.,Grangemouth,1897,21
"Bryant, Powis, & Co.",London,1883,21
Budd & Co.,Newport,1881,21
C. Salvesen & Co.,Leith,1899,21
Cardiff & Newport Pitwood Co.,Newport,1899,21
Churchill & Sim,London,1895,21
Denholm & Co.,Borrowstounness,1877,21
Farnworth & Jardine,Liverpool,1889,21
Hall Brothers,Newcastle upon Tyne,1877,21
Harrison,Hartlepool (West),1879,21
Harrison & Singleton,Hartlepool (West),1887,21
Harrison & Singleton,Hartlepool (West),1895,21
Hay,Liverpool,1889,21
Horsley,Hartlepool (West),1879,21
J. Bland & Co.,Cardiff,1883,21
J. Bland & Co.,Cardiff,1893,21
J. G. Watts,Newport,1881,21
J. T. Salvesen & Co.,Grangemouth,1889,21
Love,Alloa,1895,21
Love,Borrowstounness,1893,21
Love & Stewart,Borrowstounness,1895,21
"Mitchell, Somerville, & Co.",Leith,1883,21
"Mitchell, Thomson, & Co.",Granton,1893,21
Moller,Sunderland,1885,21
Newport Pitwood Co.,Newport,1887,21
Nicks & Co.,Gloucester,1889,21
Pedersen & Co.,Hartlepool (West),1891,21
"Pyman, Bell, & Co.",Newcastle upon Tyne,1877,21
R. Millar & Sons,Montrose,1893,21
Sanderson Bros.,Hull,1899,21
"T. Wilson, Sons, & Co.",Hull,1895,21
Taylor & Low Bros.,Bristol,1883,21
Taylor & Low Bros.,Bristol,1887,21
Taylor & Low Bros.,Bristol,1899,21
W. Christie & Co.,Grimsby,1883,21
W. D. Coxon,Hartlepool (West),1881,21
W. Pearson & Co.,Hartlepool (West),1899,21
Winter,Hull,1875,21
Wintringham & Son,Grimsby,1885,21
"Wright, Graham, & Co.",Glasgow,1897,21
Allison,Glasgow,1887,20
Bryson & Co.,Borrowstounness,1899,20
D. Sandison,Wick,1881,20
Fleming & Barry,Dundee,1887,20
G. Horsley,Hartlepool (West),1885,20
Haagensen,Hull,1874,20
Hans Erichsen & Co.,Hartlepool (West),1883,20
Horsley,Hartlepool (West),1881,20
"Horsley, Smith",Hull,1879,20
J. Horn,Southampton,1885,20
J. Rhodes & Co.,Hartlepool (West),1874,20
J. T. Salvesen & Co.,Grangemouth,1883,20
J. T. Salvesen & Co.,Grangemouth,1893,20
J. W. Baird & Co.,Hartlepool,1899,20
James Scott,Tyne Ports,1883,20
Jewson & Sons,Yarmouth,1885,20
John Jones & Co.,Swansea,1885,20
Lochgelly Iron & Coal Co.,Kirkcaldy,1887,20
Lochgelly Iron & Coal Co.,Kirkcaldy,1891,20
Love & Stewart,Alloa,1899,20
M. J. Ellingsen,Leith,1899,20
Macpherson & McLaren,Grangemouth,1874,20
Macpherson & McLaren,Grangemouth,1877,20
Madsen & Borck,Alloa,1889,20
Main Colliery Co.,Swansea,1895,20
"Manzanos, Cristobal, & Co.",Cardiff,1887,20
"Manzanos, Cristobal, & Co.",Cardiff,1893,20
Millar,Montrose,1883,20
Milne & Co.,Aberdeen,1883,20
"Mitchell, Thomson, & Co.",Granton,1875,20
P. & J. Wilkie,Alloa,1881,20
P. & J. Wilkie,Grangemouth,1899,20
Pedersen,Hartlepool (West),1897,20
"Price, Walker, & Co.",Gloucester,1899,20
R. Millar,Montrose,1881,20
"R. Wade, Sons, & Co.",Hartlepool (West),1881,20
S. Ellis,Grimsby,1881,20
Simson & Mason,London,1889,20
"Singleton, Dunn, & Co.",Glasgow,1889,20
T. Adams & Co.,Gloucester,1887,20
T. Dixon & Sons,Belfast,1897,20
T. Walker & Co.,Hartlepool (West),1883,20
Tyne Steam Shipping Co.,Tyne Ports,1891,20
W. Thomson & Co.,Leith,1881,20
"Wade, Sons, & Co.",Hull,1881,20
Watts,Cardiff,1893,20
"& c., Ronngren",Hull,1875,19
A. Gulstad & Co.,Borrowstounness,1881,19
Acorn yard,London,1887,19
Alexanders & Co.,Cardiff,1897,19
"Allison, Cousland, & Co.",Glasgow,1889,19
"Allison, Cousland, & Hamilton",Glasgow,1881,19
Bennetts,Grimsby,1889,19
C. A. Forslind & Co.,Hartlepool (West),1897,19
C. Berven,Hartlepool (West),1877,19
C. W. Meier & Co.,Sunderland,1883,19
Churchill & Sim,London,1899,19
Crossfield & Co.,Barrow-in-Furness,1897,19
D. G. Hogg,Llanelli,1899,19
Duus Brown & Co.,,1899,19
F. Charleton Huntley,Sunderland,1883,19
Fleming & Barry,Dundee,1889,19
"Fox, Eliott, & Co.",Plymouth,1881,19
"Fox, Eliott, & Co.",Plymouth,1889,19
"Foy, Morgan, & Co.",London,1889,19
G. A. Carr & Co.,Grimsby,1885,19
Hall Bros.,Newcastle upon Tyne,1877,19
Harrison & Singleton,Hartlepool (West),1891,19
Heaven & Kesterton,Hull,1889,19
"Illingworth, Ingham, & Co.",Goole,1885,19
"Illingworth, Ingham, & Co.",Goole,1891,19
"Illingworth, Ingham, & Co.",Goole,1895,19
J. Bland & Co.,Cardiff,1895,19
J. C. Pinkerton & Co.,Belfast,1895,19
J. Kennedy & Co.,Alloa,1891,19
J. Kennedy & Co.,Liverpool,1897,19
J. Kirkland & Son,Dundee,1875,19
J. Rhodes & Co.,Hartlepool (West),1881,19
Jewson & Sons,Yarmouth,1881,19
Jewson & Sons,Yarmouth,1883,19
Jewson & Sons,Yarmouth,1887,19
Jewson & Sons,Yarmouth,1897,19
Jones & Nash,Bristol,1879,19
Kennedy & Co.,Alloa,1883,19
King Bros.,Bristol,1883,19
Leask & Co.,Peterhead,1883,19
Lochgelly Iron & Coal Co.,Kirkcaldy,1895,19
London & South Wales Colliery Co.,Newport,1883,19
Marshall & Atkinson,SCARBOROUGH,1895,19
"Mitchell, Somerville, & Co.",Leith,1875,19
"Mitchell, Thomson, & Co.",Granton,1881,19
Nicks & Co.,Gloucester,1881,19
"Park, Dobson, & Co.",Leith,1885,19
"Park, Dobson, & Co.",Leith,1893,19
R. Millar & Sons,Montrose,1891,19
"R. Wade, Sons, & Co.",Hartlepool (West),1891,19
Simkin Bros.,Newport,1895,19
Singleton,Hartlepool (West),1879,19
"Singleton, Dunn, & Co.",Glasgow,1893,19
Station yard,London,1887,19
Taylor & Low Bros.,Bristol,1895,19
Tealby & Co.,Hull,1881,19
"Thompson, Pattrick, & Co.",King's Lynn,1881,19
Trayes & Co.,Cardiff,1881,19
W. Davis,Swansea,1881,19
W. Donaldson,Borrowstounness,1875,19
W. R. Corfield,Cardiff,1895,19
W. Southern & Son,Newcastle upon Tyne,1877,19
Wade,Hull,1879,19
Watts,Newport,1893,19
Wintringham & Son,Grimsby,1895,19
